method,n_perf_rows,completed_rate,mean_cost,ci95_cost,mean_solve_time_s,ci95_solve_time_s,mean_num_vars,mean_num_bin_vars,mean_num_constrs,mean_mip_gap
MPC-3,,1.0,1682.9825316751974,26.96871117779112,70.18419983386994,9.088878299722635,698.125,0.0,398.5,0.0007852485705254
StdNN-H3-MIP,20.0,1.0,1545.9611878924084,48.65764445457143,98.46904990673065,5.15684954956805,1868.1260416666669,69.37604166666667,1297.509375,0.0004339990796676
Proposed-H3,,1.0,1334.672642352308,20.72562692112061,33.16094986200333,1.145810863540582,1457.5,0.0,912.25,0.0003124771009126
