forecast_case,baseline,target,n_matched,mean_cost_diff,ci95_cost_diff,mean_cost_reduction_percent,ci95_cost_reduction_percent
biased_ood,MPC-3,Proposed-H3,20,-264.5352745212708,7.128083449872822,16.490274100579242,0.4476520329403139
high_error,MPC-3,Proposed-H3,20,-329.1317856298348,20.336491379782814,19.323843341653067,1.0023600196765985
id_reliable,MPC-3,Proposed-H3,20,-348.65654340407195,9.94474516241009,20.70515722432164,0.4219442820254313
