system,method,scenario_id,forecast_case,actual_case,horizon,solver_window,normal_step_index,gamma_Q,solver_kind,cont_vars,bin_vars,total_vars,linear_constrs,quadratic_constrs,general_constrs,total_constrs,gurobi_status,sol_count,mip_gap,solve_time_s,icnn_exogenous_clip_enabled,icnn_clip_count,icnn_clip_max_violation,note
119,MPC-3,800,id_reliable,id_actual,3,4,0,,pure_mpc_clean,2930,0,2930,1805,1092,3,2900,9,10,0.001047373273516597,600.4749999046326,False,0,0.0,One normal full-window 119-bus MPC optimization model; tail/remainder windows are excluded. total_constrs = linear + quadratic + general.
119,Proposed-H3,800,id_reliable,id_actual,3,4,0,0.3,proposed,4520,0,4520,3120,1092,260,4472,2,1,0.00021443584846253993,28.175999879837036,True,0,0.0,One normal full-window 119-bus MPC optimization model; tail/remainder windows are excluded. total_constrs = linear + quadratic + general.
