system,actual_case,forecast_case,baseline,target,n_matched,mean_cost_diff,std_cost_diff,ci95_cost_diff,mean_cost_reduction_percent,std_cost_reduction_percent,ci95_cost_reduction_percent,mean_time_diff_s,std_time_diff_s,ci95_time_diff_s,mean_time_reduction_percent,std_time_reduction_percent,ci95_time_reduction_percent
33,id_actual,biased_ood,MPC-3,Proposed-H3,20,-264.5352745212708,16.264162391027394,7.128083449872822,16.490274100579242,1.0214085468576706,0.44765203294031397,-22.062949693202974,8.767429377407133,3.842495342858957,36.49363320897442,11.376231798382882,4.985853415279846
33,id_actual,high_error,MPC-3,Proposed-H3,20,-329.1317856298348,46.40181341738048,20.336491379782814,19.323843341653067,2.287086879515205,1.0023600196765985,-13.300500357151032,17.80138489460132,7.8018009167214295,16.144537795797365,22.9827423340789,10.07263093699907
33,id_actual,id_reliable,MPC-3,Proposed-H3,20,-348.65654340407195,22.690945104144028,9.94474516241009,20.705157224321642,0.9627511197206196,0.4219442820254313,-36.02085009813309,22.594412975181285,9.902438091544889,45.98428259746047,14.274414318746242,6.256037908119738
