system,scenario_id,actual_case,forecast_case,split,baseline,target,baseline_cost,target_cost,cost_diff,cost_reduction_percent,baseline_solve_time_s,target_solve_time_s,time_diff_s,time_reduction_percent
33,85,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,1716.7474073616286,1354.5318203885606,-362.21558697306796,21.098944749812464,65.03299975395203,31.087000608444214,-33.94599914550781,52.19811368680549
33,86,id_actual,biased_ood,test_id,MPC-3,Proposed-H3,1624.5692570447825,1352.3001686177295,-272.269088427053,16.75946330058785,62.69600009918213,33.78299951553345,-28.91300058364868,46.11618051854931
33,86,id_actual,high_error,test_id,MPC-3,Proposed-H3,1739.155319916899,1365.7998385006083,-373.3554814162908,21.467633002101884,42.92300033569336,46.016000270843506,3.0929999351501465,-7.205926684901636
33,86,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,1667.5047021477392,1335.8588037247207,-331.6458984230185,19.888753416758583,89.19400024414062,34.60599946975708,-54.588000774383545,61.20142680557661
33,87,id_actual,biased_ood,test_id,MPC-3,Proposed-H3,1630.0321710462927,1363.7372245333115,-266.29494651298114,16.33679084640707,55.113999366760254,35.43200063705444,-19.68199872970581,35.71143258671988
33,87,id_actual,high_error,test_id,MPC-3,Proposed-H3,1691.1212230426056,1405.8460096793565,-285.2752133632491,16.86899847723465,83.05599999427795,48.7049994468689,-34.35100054740906,41.3588428888649
33,87,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,1687.1565588312644,1354.485650563655,-332.6709082676093,19.717844590430825,78.68499994277954,28.566999912261963,-50.11800003051758,63.694478066929975
33,88,id_actual,biased_ood,test_id,MPC-3,Proposed-H3,1598.9905435607234,1347.1445407007068,-251.8460028600166,15.750312212553276,62.75999975204468,34.27499961853027,-28.485000133514404,45.387189684599036
33,88,id_actual,high_error,test_id,MPC-3,Proposed-H3,1625.5101792045248,1372.9199848561957,-252.59019434832908,15.539133349010402,78.02999949455261,53.58700084686279,-24.44299864768982,31.32512982958076
33,88,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,1686.1875810544693,1354.3962099616717,-331.7913710927976,19.6770142788805,77.20499968528748,29.86099910736084,-47.344000577926636,61.32245420752034
33,89,id_actual,biased_ood,test_id,MPC-3,Proposed-H3,1677.9412430481254,1412.3700644144765,-265.57117863364897,15.827203707754151,57.16300010681152,31.35999894142151,-25.803001165390015,45.139340337589
33,89,id_actual,high_error,test_id,MPC-3,Proposed-H3,1811.5244399350768,1438.2409666591425,-373.2834732759343,20.606041246085113,69.10399985313416,39.903000593185425,-29.20099925994873,42.25659776859406
33,89,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,1792.3841699733814,1420.3767566817178,-372.0074132916636,20.754892813921042,64.07999920845032,44.459999084472656,-19.62000012397766,30.617978099772426
33,90,id_actual,biased_ood,test_id,MPC-3,Proposed-H3,1606.7743807760385,1353.3465357723262,-253.42784500371226,15.77245990699154,58.9399995803833,37.68300008773804,-21.256999492645264,36.065489725113814
33,90,id_actual,high_error,test_id,MPC-3,Proposed-H3,1706.2991388786486,1389.7925660604963,-316.50657281815234,18.549301561867704,54.80399990081787,42.80000042915344,-12.003999471664429,21.903509768244646
33,90,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,1706.3695133932881,1355.8246441747706,-350.54486921851753,20.543315294084437,69.19499945640564,44.84499979019165,-24.34999966621399,35.1904037249903
33,91,id_actual,biased_ood,test_id,MPC-3,Proposed-H3,1642.0786889307942,1377.9501625397597,-264.1285263910345,16.085010308672622,57.47099828720093,39.046000480651855,-18.424997806549072,32.059644613224705
33,91,id_actual,high_error,test_id,MPC-3,Proposed-H3,1728.1210901841641,1411.17294492989,-316.9481452542741,18.340621328826977,53.78500032424927,42.36300015449524,-11.422000169754028,21.236404389504774
33,91,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,1744.7135049381511,1378.494774891677,-366.2187300464741,20.990192888972697,100.12900137901306,32.80899930000305,-67.32000207901001,67.23327023325353
33,92,id_actual,biased_ood,test_id,MPC-3,Proposed-H3,1502.1521453408789,1239.9077463304623,-262.2443990104166,17.457911958106365,71.13000082969666,37.024999380111694,-34.10500144958496,47.9474216951593
33,92,id_actual,high_error,test_id,MPC-3,Proposed-H3,1576.0212898914092,1287.93342316686,-288.08786672454926,18.27944004134608,78.8360013961792,49.792999029159546,-29.043002367019653,36.83977098365015
33,92,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,1558.6348526294316,1231.476801788358,-327.15805084107365,20.99003819202137,84.96499967575073,43.52299880981445,-41.44200086593628,48.77537930217159
33,93,id_actual,biased_ood,test_id,MPC-3,Proposed-H3,1560.9952191226798,1298.7045541396787,-262.2906649830011,16.80278464468426,51.55400085449219,38.999000549316406,-12.555000305175781,24.353105669939083
33,93,id_actual,high_error,test_id,MPC-3,Proposed-H3,1715.9848590162246,1331.3571723639413,-384.6276866522833,22.414398625451195,57.6270010471344,52.0629997253418,-5.5640013217926025,9.655198467193674
33,93,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,1637.3319171837081,1285.3156913584537,-352.0162258252544,21.49938092153848,80.40000057220459,46.7979998588562,-33.60200071334839,41.793532928114274
33,94,id_actual,biased_ood,test_id,MPC-3,Proposed-H3,1601.884687614923,1329.942741735306,-271.9419458796169,16.976374640581433,56.489999532699585,36.91800022125244,-19.571999311447144,34.64683921641347
33,94,id_actual,high_error,test_id,MPC-3,Proposed-H3,1726.1064616388746,1433.5771361691618,-292.52932546971283,16.947351277045044,39.28000020980835,42.56399917602539,3.283998966217041,-8.36048612188402
33,94,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,1653.5192611214925,1328.3458867467634,-325.17337437472906,19.665532904296594,75.67899990081787,42.293999671936035,-33.385000228881836,44.11395535437175
33,95,id_actual,biased_ood,test_id,MPC-3,Proposed-H3,1550.5791060203537,1291.0736712531889,-259.50543476716484,16.73603325103482,48.940999269485474,36.13499975204468,-12.805999517440796,26.166199523076124
33,95,id_actual,high_error,test_id,MPC-3,Proposed-H3,1686.2166054766487,1305.3034438435316,-380.91316163311717,22.589812032211785,45.6010000705719,48.600000619888306,2.9990005493164062,-6.576611356494741
33,95,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,1603.4040323552476,1280.8902384122428,-322.5137939430049,20.114318502072297,73.16399884223938,41.86900091171265,-31.294997930526733,42.77376636835678
33,96,id_actual,biased_ood,test_id,MPC-3,Proposed-H3,1626.432596923565,1355.1542438446643,-271.27835307890064,16.67934801552981,57.73900032043457,35.91199970245361,-21.827000617980957,37.802872403137364
33,96,id_actual,high_error,test_id,MPC-3,Proposed-H3,1649.906797368721,1359.902890394033,-290.0039069746881,17.57698722359273,74.22000026702881,55.109999895095825,-19.110000371932983,25.747777288034225
33,96,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,1666.507291289621,1349.2053094603355,-317.3019818292855,19.03993960828953,151.6830005645752,42.56499981880188,-109.11800074577332,71.93818710048467
33,97,id_actual,biased_ood,test_id,MPC-3,Proposed-H3,1523.869210298434,1283.6899292846515,-240.17928101378243,15.761147964053018,58.26799964904785,36.685999631881714,-21.582000017166138,37.03919844023478
33,97,id_actual,high_error,test_id,MPC-3,Proposed-H3,1647.4197511928126,1294.6976908494428,-352.7220603433698,21.410576150248396,77.70800065994263,44.01099920272827,-33.697001457214355,43.36361915251885
33,97,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,1654.6971871283629,1281.6894017747768,-373.0077853535861,22.54235930629222,63.43899941444397,43.722999811172485,-19.715999603271484,31.078673663289987
33,98,id_actual,biased_ood,test_id,MPC-3,Proposed-H3,1600.2773211296026,1318.8204067218046,-281.45691440779797,17.588008696462897,61.83799958229065,36.87700057029724,-24.960999011993408,40.36514631877227
33,98,id_actual,high_error,test_id,MPC-3,Proposed-H3,1646.2887898052525,1357.8553957043007,-288.4333941009518,17.520218559896282,45.3129997253418,50.5670006275177,5.254000902175903,-11.594908600230113
33,98,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,1631.8100350027046,1315.3267256590173,-316.4833093436873,19.39461717694136,49.02799916267395,40.74600005149841,-8.281999111175537,16.892386498775984
33,99,id_actual,biased_ood,test_id,MPC-3,Proposed-H3,1635.9180468448562,1371.8988951337521,-264.0191517111041,16.13889841366501,40.098000288009644,37.02600026130676,-3.072000026702881,7.661229998099156
33,99,id_actual,high_error,test_id,MPC-3,Proposed-H3,1801.1293726437457,1393.2438940858694,-407.88547855787624,22.64609554166401,42.124000549316406,46.9109992980957,4.786998748779297,-11.364064871224537
33,99,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,1724.018727672381,1365.945573191026,-358.073154481355,20.76967893294257,81.85099983215332,42.74800086021423,-39.10299897193909,47.77339195871173
