system,method,scenario_id,split,actual_case,forecast_case,horizon,gamma_Q,cost,perfect_cost,gap_percent,voltage_violation,solve_time_s,avg_step_time_s,max_step_time_s,solver_fail_count,timeout_count,completed,incomplete_reason,seed,solver_kind,solver_window,executed_steps,include_tail,cost_accounting,final_P_DG_29,final_P_DG_64,final_SOC_BSS_12,final_SOC_BSS_34,final_SOC_BSS_68,final_SOC_BSS_103,step_costs_json,step_times_json,certified_global,gurobi_status,mean_num_vars,mean_num_bin_vars,mean_num_constrs,mean_num_qconstrs,mean_num_genconstrs,mean_model_runtime_s,mean_mip_gap,max_mip_gap,mean_model_status,min_model_sol_count,failure_message,experiment_tag,perfect_screening_target_count,perfect_screening_candidate_order,perfect_screening_rule,scenario_selection_file,scenario_selection_rule
119,Perfect-Global,800,test_id,id_actual,perfect_full_horizon,48,,1936.8185324363217,1936.8185324363217,0.0,,89.84400010108948,1.8717500021060307,89.84400010108948,0,0,True,,200800,perfect_global_clean,48,48,True,full_day_optimization_objective,0.9999997417004803,0.9999997415959734,0.12500011871100883,0.12500011815667422,0.12500011728548327,0.12500011784806644,"[23.34119797583674, 12.536514165736822, 7.444954095321904, 9.884033063607722, 12.34344291567758, 12.332633946957912, 12.332630213986974, 12.343884424137636, 12.332629694618973, 12.34298395774647, 12.344118785217768, 12.345521495924578, 23.295026630050124, 12.33229317007893, 12.332293173937229, 12.33197231114741, 9.86513532477045, 7.398492595688801, 4.93204627976057, 2.465804443630835, 3.1586756026498714e-05, 2.860591018736527e-05, 2.8605993327176408e-05, 2.860560335816488e-05, 2.860617316635411e-05, 8.015683632503513e-05, 2.466111680171294, 4.932362271491451, 7.398811448460944, 9.865456000000002, 12.332314859271815, 12.332318434943378, 12.332318467657691, 77.26628459687552, 161.98167527199257, 158.6799434701139, 101.62610588847471, 97.40615558717862, 109.18325659994579, 113.34706257555065, 95.29109606163671, 97.8384475596458, 95.31865795693184, 114.91444181093831, 103.35496924438861, 113.30087312564307, 100.89691253753806, 97.87512215636305]","[1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307, 1.8717500021060307]",True,2,46850,0,28850,17472,48,89.84400010108948,0.000784141318416315,0.000784141318416315,2,2,,perfect_global_119,20,0,completed_and_certified_full_day_hard_opf,formal/selected_119_perfect_feasible_20.json,perfect_global_feasible_certified_subset
119,Perfect-Global,801,test_id,id_actual,perfect_full_horizon,48,,1841.154270964483,1841.154270964483,0.0,,104.51699995994568,2.177437499165535,104.51699995994568,0,0,True,,200801,perfect_global_clean,48,48,True,full_day_optimization_objective,0.9999937438144042,0.9999937409685974,0.12500287590924822,0.12500286257212762,0.12500284205737,0.1250028549825505,"[2.465677956370506, 4.931305553875857, 7.397131357710764, 9.862969694892449, 12.32835842244893, 12.331234828721128, 12.331122471049088, 12.33112016188278, 12.33123041760933, 12.331209563130773, 12.331124068358813, 12.331239840146585, 37.313560797107, 12.331248778019356, 10.004924831658816, 7.539309686593428, 5.073364892777451, 2.607436893157056, 0.14205132368479662, 0.0006969704834287157, 0.0006936012203024674, 0.0006936749581323264, 0.000693597878558494, 0.0006935393036753496, 0.0006936321981676034, 0.000693757016894362, 0.47050602770195976, 2.9359241062904515, 5.401881243032009, 7.868145837002716, 10.334660234232544, 12.332743038320931, 12.33275577618092, 84.97150585959707, 113.99197222653288, 177.02675448641372, 103.13802206591235, 91.50021110278632, 111.29300946039999, 100.31182304743797, 91.41381078423774, 103.2655740506731, 104.76078865459543, 111.78840931815424, 101.77659962781166, 92.74521897918129, 104.85750722921563, 98.3159674965179]","[2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535, 2.177437499165535]",True,2,46850,0,28850,17472,48,104.51699995994568,0.0009175828897148244,0.0009175828897148244,2,2,,perfect_global_119,20,1,completed_and_certified_full_day_hard_opf,formal/selected_119_perfect_feasible_20.json,perfect_global_feasible_certified_subset
119,Perfect-Global,804,test_id,id_actual,perfect_full_horizon,48,,1861.913026102147,1861.913026102147,0.0,,88.85899996757507,1.8512291659911473,88.85899996757507,0,0,True,,200804,perfect_global_clean,48,48,True,full_day_optimization_objective,0.9999997417262008,0.9999997416011739,0.12500011873121125,0.12500011809533823,0.12500011728047777,0.12500011785017037,"[2.466488936628872, 4.932719316214257, 7.39917248014577, 9.865815845448216, 12.332640180109282, 12.332656544644395, 12.332662002885122, 12.332659856439404, 12.33265570108061, 12.332468328556386, 12.332651992620445, 12.332467117740816, 27.569699430520828, 12.332292853362755, 12.33229283780336, 11.699540885258621, 9.232753286554624, 6.766160071004793, 4.299763622057846, 1.8335734724079955, 2.860794122599072e-05, 2.8606533482688435e-05, 2.8606180964671806e-05, 2.860643304832065e-05, 2.860639576677074e-05, 2.8606611430869114e-05, 8.020117750511662e-05, 2.46611173690816, 4.932362328050841, 7.398811504087474, 9.865455648054477, 12.332315175809685, 12.332318723621192, 43.84977423976981, 152.69301604045847, 178.7921281473336, 109.69107747953788, 111.34454358943248, 105.03186292947684, 107.09073893607787, 101.78653047082884, 104.26457420372623, 96.34536413058031, 94.36610301188581, 95.01977541411712, 103.23941256283481, 89.6789787455593, 110.00038448123783]","[1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473, 1.8512291659911473]",True,2,46850,0,28850,17472,48,88.85899996757507,0.0007853162956205118,0.0007853162956205118,2,2,,perfect_global_119,20,4,completed_and_certified_full_day_hard_opf,formal/selected_119_perfect_feasible_20.json,perfect_global_feasible_certified_subset
119,Perfect-Global,805,test_id,id_actual,perfect_full_horizon,48,,1906.937670920186,1906.937670920186,0.0,,122.9909999370575,2.562312498688698,122.9909999370575,0,0,True,,200805,perfect_global_clean,48,48,True,full_day_optimization_objective,0.9999997417298391,0.9999997415912549,0.12500011871244335,0.12500011811292164,0.12500011731470304,0.12500011785780993,"[2.4660688026348723, 4.9323252389685655, 7.3987737939396165, 9.865411117326122, 12.332228912979096, 12.332280853305704, 12.33227951839017, 12.332279501442915, 12.332279505371677, 12.332280855055718, 12.332279520805624, 12.332280845663021, 45.202440417997906, 12.332280889951972, 10.371587829128847, 7.904915526156779, 5.43842566927521, 2.972132579865033, 0.5060457956968124, 2.8609640583358002e-05, 2.8606518861157514e-05, 2.8606385649191265e-05, 2.860636088045314e-05, 2.8606555070998893e-05, 2.860659339168621e-05, 2.861396163698226e-05, 2.3014609486693822, 4.7676875320142, 7.2341204111316895, 9.700750055367514, 12.167574082159554, 12.33231828421802, 12.332318647660795, 86.62748213762038, 111.0242131911503, 168.427720084792, 117.48806620960566, 109.16394459159088, 102.64021697152714, 103.44484906153258, 98.43817457113215, 112.21744884590053, 110.9210782993832, 101.26733387075389, 101.48088857356636, 110.29119721586109, 101.11624011455342, 103.5037897900238]","[2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698, 2.562312498688698]",True,2,46850,0,28850,17472,48,122.9909999370575,0.000699560411374715,0.000699560411374715,2,2,,perfect_global_119,20,5,completed_and_certified_full_day_hard_opf,formal/selected_119_perfect_feasible_20.json,perfect_global_feasible_certified_subset
119,Perfect-Global,806,test_id,id_actual,perfect_full_horizon,48,,1839.6540773537022,1839.6540773537022,0.0,,1097.2039999961853,22.858416666587193,1097.2039999961853,0,0,True,,200806,perfect_global_clean,48,48,True,full_day_optimization_objective,1.0,1.0,0.12500000000000214,0.1250000000000021,0.1250000000000021,0.1250000000000021,"[2.466076, 4.9323440000000005, 7.398804, 9.865456000000002, 12.332300000000002, 12.332300000000002, 12.332300000000002, 12.332300000000002, 12.332300000000002, 12.332300000000002, 12.332300000000002, 12.332300000000002, 21.326772627252414, 12.332300000000002, 10.788767638286027, 8.322043424818343, 5.855510862734748, 3.389169951714852, 0.9230215638519174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.694178809134076, 3.1603093798861432, 5.626632473783836, 8.09314809103058, 10.55985623182995, 12.332300000000002, 12.332300000000002, 114.46399685972445, 93.1560384985993, 190.43064487956636, 94.16090963196685, 101.53560680555715, 111.59853649274416, 101.2762369545628, 98.79111378696814, 99.2131143850216, 109.81969889276438, 105.8307218470982, 94.71381169319301, 90.68846273766549, 91.79320940525943, 103.12458342868779]","[22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193, 22.858416666587193]",True,2,46850,0,28850,17472,48,1097.2039999961853,0.0006425764098860713,0.0006425764098860713,2,3,,perfect_global_119,20,6,completed_and_certified_full_day_hard_opf,formal/selected_119_perfect_feasible_20.json,perfect_global_feasible_certified_subset
119,Perfect-Global,808,test_id,id_actual,perfect_full_horizon,48,,1832.071861037102,1832.071861037102,0.0,,1055.7750000953674,21.99531250198682,1055.7750000953674,0,0,True,,200808,perfect_global_clean,48,48,True,full_day_optimization_objective,1.0,1.0,0.1250000000000062,0.12500000000000616,0.1250000000000061,0.12500000000000616,"[2.466076, 4.9323440000000005, 7.398804, 9.865456000000002, 12.332300000000002, 12.332300000000002, 12.332300000000002, 12.332300000000002, 12.332300000000002, 12.332300000000002, 12.332300000000002, 12.332300000000002, 12.332300000000002, 12.332300000000002, 12.332300000000002, 11.93757989171545, 9.470764626348256, 7.004141857947011, 4.537711586318567, 2.0714738112701743, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.466071035570075, 4.932339531586721, 7.398800524201973, 9.865454013608584, 12.332300000000002, 12.332300000000002, 12.332300000000002, 76.6413155363656, 126.59991932386883, 148.31939285490913, 86.80282417043364, 105.88506117364668, 100.81631363547493, 105.84507014498513, 99.49364382059093, 104.66169860781584, 106.25480727161118, 114.48386361606661, 93.3056209877284, 104.27913237347495, 105.90107214968272, 95.78290849188046]","[21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682, 21.99531250198682]",True,2,46850,0,28850,17472,48,1055.7750000953674,0.0007754835731377058,0.0007754835731377058,2,3,,perfect_global_119,20,8,completed_and_certified_full_day_hard_opf,formal/selected_119_perfect_feasible_20.json,perfect_global_feasible_certified_subset
119,Perfect-Global,809,test_id,id_actual,perfect_full_horizon,48,,1826.8332539579656,1826.8332539579656,0.0,,73.38499999046326,1.5288541664679844,73.38499999046326,0,0,True,,200809,perfect_global_clean,48,48,True,full_day_optimization_objective,0.9999997417125724,0.9999997415868791,0.12500011873929992,0.1250001181487824,0.12500011730084393,0.12500011785606865,"[2.528607297817376, 6.142623154086997, 7.417083199648074, 9.8770749436627, 12.337763829866326, 12.34111014400527, 12.339603598987821, 12.332627159496834, 12.340351152303889, 12.340848189973364, 12.340929280374299, 12.339487787105531, 39.40424451408474, 12.33229317012678, 12.332293161367884, 11.964509814525845, 9.497701592232195, 7.031087752830902, 4.564670679592606, 2.09845990362581, 2.8610639517362768e-05, 2.8606059047448107e-05, 2.8606129468099073e-05, 2.860619226464496e-05, 2.8606151857210184e-05, 2.8606184564901628e-05, 8.017341822463246e-05, 2.4661117007859854, 4.932362291844721, 7.398811468357778, 9.865456000000002, 12.3323149770505, 12.332318527374808, 79.85683492833556, 155.78101488773817, 158.78791759122254, 90.14191860287409, 92.15746756391465, 93.4989615781595, 107.40388086224411, 91.62447289006747, 95.40615648361411, 95.79348768695651, 102.19247263363964, 90.57646479430994, 98.9567812998295, 101.48505109865775, 99.93937395049805]","[1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844, 1.5288541664679844]",True,2,46850,0,28850,17472,48,73.38499999046326,0.0008128149872638488,0.0008128149872638488,2,2,,perfect_global_119,20,9,completed_and_certified_full_day_hard_opf,formal/selected_119_perfect_feasible_20.json,perfect_global_feasible_certified_subset
119,Perfect-Global,810,test_id,id_actual,perfect_full_horizon,48,,1826.7765362105915,1826.7765362105915,0.0,,77.32500004768372,1.6109375009934108,77.32500004768372,0,0,True,,200810,perfect_global_clean,48,48,True,full_day_optimization_objective,0.9999937443210114,0.9999937410222075,0.1250028756238495,0.12500286224549137,0.12500284067084858,0.12500285497975547,"[2.4649830454566692, 4.9294599144356885, 7.394103731472033, 9.858312611401686, 12.320097506433681, 12.329053998004593, 12.329432904250359, 12.329364769858968, 12.32884062048075, 12.328800320706916, 12.328762567030955, 12.32941186080437, 37.366695601964004, 11.302943942399436, 8.838983576890731, 6.373814302988935, 3.9083713756521234, 1.442886295651791, 0.0007005628885800719, 0.0006942139639882738, 0.000693830284842208, 0.0006938576745902059, 0.0006938476122995728, 0.0006938498695073671, 0.000697167300405491, 0.0019485788213539823, 2.4669473228515213, 4.932791733909282, 7.39898812551719, 9.86544866093037, 12.33266107244623, 12.332743992357237, 18.922320656484896, 21.340736039726572, 101.96573178365946, 169.86221549060028, 94.19671917082806, 103.35536313324766, 109.59784810352481, 126.74031094612944, 119.78703165871103, 96.06991183276284, 97.2190999500742, 114.29664458135557, 101.05396522384389, 108.01795984357977, 102.08969664931529, 100.42026538443659]","[1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108, 1.6109375009934108]",True,2,46850,0,28850,17472,48,77.32500004768372,0.0009135032649482961,0.0009135032649482961,2,2,,perfect_global_119,20,10,completed_and_certified_full_day_hard_opf,formal/selected_119_perfect_feasible_20.json,perfect_global_feasible_certified_subset
119,Perfect-Global,812,test_id,id_actual,perfect_full_horizon,48,,1955.1021469096056,1955.1021469096056,0.0,,57.31699991226196,1.194104164838791,57.31699991226196,0,0,True,,200812,perfect_global_clean,48,48,True,full_day_optimization_objective,0.9999997417475713,0.999999741592807,0.12500011870974229,0.1250001181153668,0.12500011725284224,0.1250001178450655,"[2.4660688156091695, 4.932325260264419, 7.398773824623909, 9.865411160943534, 12.332228963136034, 12.332279521502036, 12.332280850897275, 12.33227952481953, 12.332280842819776, 12.33227951270613, 12.332279524524544, 12.332279531132224, 39.41688590047894, 17.260394235451987, 12.034905429104544, 9.568103661927964, 7.101484344614215, 4.635061793233706, 2.1688455410439835, 2.8612114100589867e-05, 2.860632315382323e-05, 2.860621252036317e-05, 2.8606236945187707e-05, 2.8605929582008094e-05, 2.860619930254362e-05, 8.016182450660349e-05, 2.4661116861315477, 4.932362277660897, 7.398811454767027, 9.865455601658896, 12.332314903175675, 12.332318500360126, 12.332318511683155, 72.29316981161008, 142.58643660193314, 171.09792810726037, 108.80913326705398, 105.15895282095299, 120.35938317043914, 103.05514050747168, 106.01276466133227, 107.13800507129453, 115.25809228506543, 111.85882214679796, 95.7264437805041, 110.14391382578626, 94.50445586389421, 113.93311200909804]","[1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791, 1.194104164838791]",True,2,46850,0,28850,17472,48,57.31699991226196,0.0007016954857386663,0.0007016954857386663,2,2,,perfect_global_119,20,12,completed_and_certified_full_day_hard_opf,formal/selected_119_perfect_feasible_20.json,perfect_global_feasible_certified_subset
119,Perfect-Global,814,test_id,id_actual,perfect_full_horizon,48,,1941.330944606665,1941.330944606665,0.0,,93.17300009727478,1.9411041686932247,93.17300009727478,0,0,True,,200814,perfect_global_clean,48,48,True,full_day_optimization_objective,0.9999937441290184,0.9999937413678675,0.1250028757515345,0.12500286170805575,0.12500284133699321,0.12500285465912528,"[2.4752096432485287, 4.940740862748036, 7.407023560407697, 9.873332478063391, 12.339838694100251, 12.340333369257571, 12.336195241014403, 12.340137786820836, 12.340047447256737, 12.340195793907114, 12.339481762727367, 12.33619871990534, 38.32201458909831, 12.332126370700387, 12.332125986343163, 10.557791085378387, 8.091258935089886, 5.624976550574733, 3.1590017183484544, 0.6935654696630725, 0.0006934211842011619, 0.0006932293354686548, 0.0006932630784161241, 0.0006933172479682371, 0.0006933114396254141, 0.001943481052502293, 2.466942158971543, 4.932788355684988, 7.398986026550511, 9.865447582297236, 12.332662125051524, 12.332746958852692, 20.87136856072689, 76.76287453080067, 149.52322851585333, 157.07355846601016, 102.67780042557072, 110.51900288264073, 99.93029486994496, 95.7052323949585, 112.80567737670951, 102.25321167601629, 109.60857608933024, 119.31289500704352, 101.0370378264216, 109.88709859784214, 100.82984578943501, 108.67666230196056]","[1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247, 1.9411041686932247]",True,2,46850,0,28850,17472,48,93.17300009727478,0.0009261341087224189,0.0009261341087224189,2,2,,perfect_global_119,20,14,completed_and_certified_full_day_hard_opf,formal/selected_119_perfect_feasible_20.json,perfect_global_feasible_certified_subset
