diagnostic_case,case,modified_property,price_variation,time_coupling,mpc_method,mpc_horizon,forecast_case,n_mpc_attempted,n_mpc_completed,n_mpc3_completed,n_mpc_failed,mpc_completion_rate_percent,mpc_solver_fail_count_total,mpc_timeout_count_total,n_perfect_attempted,n_perfect_completed,n_matched_pairs,mean_mpc_cost,std_mpc_cost,ci95_mpc_cost,mean_mpc3_cost,std_mpc3_cost,ci95_mpc3_cost,mean_perfect_cost,std_perfect_cost,ci95_perfect_cost,mean_gap_percent,std_gap_percent,ci95_gap_percent,mean_mpc_avg_step_time_s,std_mpc_avg_step_time_s,ci95_mpc_avg_step_time_s,mean_mpc3_avg_step_time_s,std_mpc3_avg_step_time_s,ci95_mpc3_avg_step_time_s,mean_perfect_solve_time_s,std_perfect_solve_time_s,ci95_perfect_solve_time_s
original,Original,None,High,Strong,MPC-3,3,perfect,20,20,20,0,100.0,0,0,20,20,20,1670.4788485342272,59.883759328474625,26.24521469491446,1670.4788485342272,59.883759328474625,26.24521469491446,1313.0122874524436,45.01318364455955,19.727897548531708,27.22580485355486,1.385920168372387,0.6074062947422477,0.9557083336015543,0.28447227649735596,0.12467547220059193,0.9557083336015543,0.28447227649735596,0.12467547220059193,1800.9200499773026,0.4796196377056471,0.21020257419771501
flat_price,Flat price,Remove price variation,Removed,Strong,MPC-3,3,perfect,20,20,20,0,100.0,0,0,20,20,20,1532.1263353826018,50.607326245321495,22.179638642233417,1532.1263353826018,50.607326245321495,22.179638642233417,1287.0892821746932,46.12423328267636,20.21483652190403,19.054898189043055,1.1760729779753165,0.5154367085496704,1.6191083361705145,0.4839453175131243,0.21209838696100483,1.6191083361705145,0.4839453175131243,0.21209838696100483,1801.0679500102997,0.4175697067832185,0.18300799294353856
relaxed_ramp,Relaxed ramp,Weaken DG inter-temporal coupling,High,Weak DG ramp,MPC-3,3,perfect,20,20,20,0,100.0,0,0,20,20,20,1611.8496716912339,45.32836831820289,19.866033322255298,1611.8496716912339,45.32836831820289,19.866033322255298,1277.91593632412,44.48709645092482,19.497329670028073,26.162746938899417,1.2640717656073532,0.5540038776818996,1.1265177071094512,0.3202750470151082,0.1403667282180537,1.1265177071094512,0.3202750470151082,0.1403667282180537,1800.9985000371933,0.4499426329200115,0.19719605338413856
flat_price_relaxed_ramp,Flat price + relaxed ramp,Remove dominant long-term effects,Removed,Weak DG ramp,MPC-3,3,perfect,20,20,20,0,100.0,0,0,20,20,20,1469.2680350492087,42.351720135757965,18.56145973676988,1469.2680350492087,42.351720135757965,18.56145973676988,1216.446347222027,45.61139180667352,19.990073835107392,20.825746148320498,1.4869596902179614,0.6516888176373605,1.5604197931786379,0.38252185016310103,0.16764759252936184,1.5604197931786379,0.38252185016310103,0.16764759252936184,1716.3827999711036,377.92740237300546,165.63398700412728
