system,actual_case,forecast_case,display_forecast_case,method,horizon,gamma_Q,n_runs,completed_count,completed_rate,certified_global_count,certified_global_rate,total_fail_count,total_timeout_count,mean_executed_steps,n_completed,policy_eval_mode,policy_eval_seed,policy_stochastic_eval,cost_accounting,voltage_violation_metric,mean_cost,std_cost,ci95_cost,mean_economic_generation_cost,std_economic_generation_cost,ci95_economic_generation_cost,mean_penalized_cost,std_penalized_cost,ci95_penalized_cost,mean_balance_penalty_cost,std_balance_penalty_cost,mean_constraint_penalty,std_constraint_penalty,mean_solve_time_s,std_solve_time_s,ci95_solve_time_s,mean_avg_step_time_s,mean_max_step_time_s,mean_num_vars,mean_num_bin_vars,mean_num_constrs,mean_num_qconstrs,mean_num_genconstrs,mean_model_runtime_s,mean_mip_gap,max_mip_gap,mean_model_status,mean_gurobi_status,min_model_sol_count,mean_cost_constraint,mean_voltage_violation,std_voltage_violation,ci95_voltage_violation,legacy_mean_cost_constraint,source_summary
33,id_actual,perfect_full_horizon,full actual trajectory,Perfect-Global,48,,20,20,1.0,0,0.0,0,20,48.0,20,,,,full_day_optimization_objective,,1313.0122874524436,45.01318364455955,19.727897548531708,,,,,,,,,,,1800.9200499773026,0.4796196377056471,0.21020257419771501,37.51916770786047,1800.9200499773026,11378.0,0.0,6482.0,4752.0,48.0,1800.9200499773026,0.0013148350858413471,0.001528816722596597,9.0,9.0,2.0,,,,,,formal/step7b_33_perfect_global_summary.csv
33,id_actual,perfect,perfect,Oracle-H3,3,,20,20,1.0,,,0,,48.0,20,,,,,,1670.4788485342272,59.883759328474625,26.24521469491446,,,,,,,,,,,70.38389967679977,20.492325015127776,8.98115742316564,1.466331243266662,12.867049980163575,,,,,,,,,,,,,,,,,formal/step7_33_oracle_mpc_summary.csv
33,id_actual,perfect,perfect,Oracle-H7,7,,20,20,1.0,,,0,,48.0,20,,,,,,1578.1945053707088,50.45105161571149,22.11114826601997,,,,,,,,,,,1934.1484997749328,529.6148323732879,232.11393434745025,40.29476041197777,293.1610500216484,,,,,,,,,,,,,,,,,formal/step7_33_oracle_mpc_summary.csv
33,id_actual,id_reliable,id_reliable,MPC-3,3,,20,20,1.0,,,0,,48.0,20,,,,,,1682.9825316751974,61.534562713366704,26.96871117779112,,,,,,,,,,,70.18419983386994,20.73811195653319,9.088878299722637,1.4621708298722904,14.895149958133697,,,,,,,,,,,,,,,,,formal/step4_33_main_model_based_summary.csv
33,id_actual,id_reliable,id_reliable,MPC-5,5,,20,20,1.0,,,0,,48.0,20,,,,,,1625.7381371827626,58.75919872080584,25.75235427805555,,,,,,,,,,,501.04794989824296,190.1531484170692,83.33829173524995,10.438498956213396,128.57894999980925,,,,,,,,,,,,,,,,,formal/step4_33_main_model_based_summary.csv
33,id_actual,id_reliable,id_reliable,MPC-7,7,,20,20,1.0,,,0,,48.0,20,,,,,,1594.145195692511,63.05705946090333,27.635974797501913,,,,,,,,,,,1687.4157499194146,462.3042546457741,202.61377297636346,35.1544947899878,284.412700009346,,,,,,,,,,,,,,,,,formal/step4_33_main_model_based_summary.csv
33,id_actual,id_reliable,id_reliable,StdNN-H3-MIP,3,0.3,20,20,1.0,,,0,0,48.0,20,,,,,,1545.9611878924084,111.02224553616061,48.657644454571425,,,,,,,,,,,98.46904990673065,11.766394023034012,5.15684954956805,2.0514385397235553,11.971400022506714,1868.1260416666667,69.37604166666667,1297.509375,290.8125,3.875,2.0514385397235553,0.00043399907966765747,0.000999948415097132,2.0,,1.0,,,,,,formal/step6_33_stdnn_only_summary.csv
33,id_actual,not_applicable,-,SAC,0,,20,20,1.0,,,0,,48.0,20,deterministic_mean_action,,False,legacy_penalized_operating_cost,"env.net.res_bus.vm_pu, vmin=0.94, vmax=1.06",1406.2672477390768,44.96833575888128,19.708242096011052,282.9509255744519,0.026544606480440297,0.011633686727144203,1406.2672477390768,44.96833575888128,19.708242096011052,1123.3163221646248,44.95977662756686,1123.3163221646248,44.95977662756684,0.5290190601022914,0.08761352175902679,0.038398318918662806,0.011021230418797738,0.015784429979976266,,,,,,,,,,,,0.005533376079314189,0.26560205180708113,0.040385326326137214,0.017699649651915908,0.005533376079314189,formal/step7_33_policy_baselines_summary.csv
33,id_actual,not_applicable,-,SAC-ICNN,0,,20,20,1.0,,,0,,48.0,20,deterministic_mean_action,,False,legacy_penalized_operating_cost,"env.net.res_bus.vm_pu, vmin=0.94, vmax=1.06",1941.220766545081,44.77684859020331,19.6243191441184,283.09733641723113,0.010234983265742322,0.004485679192831435,1941.220766545081,44.77684859020331,19.6243191441184,1658.1234301278498,44.77704392739668,1658.1234301278498,44.77704392739674,0.5479890401707962,0.07004296808091909,0.030697684243057483,0.011416438336891589,0.02063703499734402,,,,,,,,,,,,0.022860139902010787,1.0972867152965178,0.0833874438131154,0.03654615859586978,0.022860139902010787,formal/step7_33_policy_baselines_summary.csv
33,id_actual,not_applicable,-,SACLag,0,,20,20,1.0,,,0,,48.0,20,stochastic_sampled_action,0,True,legacy_penalized_operating_cost,"env.net.res_bus.vm_pu, vmin=0.94, vmax=1.06",1458.4946660050757,48.049518463526496,21.05862995583299,282.28010303591844,0.13009727043724711,0.05701764271543223,1458.4946660050757,48.049518463526496,21.05862995583299,1176.2145629691574,48.12302682446633,1176.2145629691574,48.12302682446633,0.3798554249224253,0.06624483396613347,0.029033078573666438,0.007913654685883861,0.013192230020649731,,,,,,,,,,,,1.8665076164806638e-05,0.0008959236559107186,0.0009864076941018857,0.0004323122328779644,0.001866507616480664,formal/step7_33_saclag_stochastic_seed0_test_summary.csv
