evaluation_terminal_states,n_samples,mae_raw,rmse_raw,mae_affine,rmse_affine,affine_slope,affine_intercept,spearman_rho,pairwise_accuracy_percent,n_pairwise
MPC-3,30,354.22230197590955,399.1180310213942,99.49166810503122,136.44293995393224,0.7433603072841897,8.178704018881035,0.5933259176863181,nan,0
Proposed-H3,30,288.22874605770727,313.43015016734705,68.96287909084967,88.75970507513912,0.7851260679154589,-21.76741960226525,0.8367074527252503,nan,0
Perfect-Global,0,nan,nan,nan,nan,nan,nan,nan,nan,0
All terminals,60,321.22552401680844,358.8409548256165,86.31964484030593,116.0900854160082,0.755036324782202,3.6186644652630093,0.8211169769380383,100.0,30
