system,method,scenario_id,split,actual_case,forecast_case,horizon,gamma_Q,cost,perfect_cost,gap_percent,voltage_violation,solve_time_s,avg_step_time_s,max_step_time_s,solver_fail_count,timeout_count,completed,incomplete_reason,seed,solver_kind,solver_window,executed_steps,include_tail,max_steps,final_P_DG_5,final_SOC_BSS_9,step_costs_json,step_times_json,failure_message,diagnostic_case,diagnostic_case_label,modified_property,price_variation,time_coupling,flat_price,relaxed_ramp,relaxed_ramp_value,relaxed_ramp_setting,experiment_tag,source_cache,gap_to_perfect_percent,cost_accounting,certified_global,gurobi_status,mean_num_vars,mean_num_bin_vars,mean_num_constrs,mean_num_qconstrs,mean_num_genconstrs,mean_model_runtime_s,mean_mip_gap,max_mip_gap,mean_model_status,min_model_sol_count
33,MPC-3,80,test_id,id_actual,id_reliable,3,,1750.6988865261387,1369.246408572328,27.858570638979426,,51.231000900268555,1.067312518755595,12.805000066757202,0,0,True,,100080,pure_mpc,4,48,True,,1.0,0.1250000008052981,"[10.482018139143662, 14.052368896214753, 8.368416324427631, 11.555666360304798, 5.607606363758771, 9.201104499587116, 5.545716402509746, 10.481076291921031, 15.405441260602855, 5.951439941151344, 22.225361803920308, 27.206663364914398, 40.980445862796216, 26.457257634046854, 16.66519575758521, 5.837313129066636, 5.813144305224585, 4.579749779686162, 3.3464512541477394, 2.1132487292432884, 0.8801422047048304, 0.0, 0.0, 0.0, 1.2330379320254377, 6.108764882762916, 33.752673003789766, 22.35691814383785, 33.060406163603645, 38.91841369198173, 64.13651672877428, 79.5946397399563, 104.97452735523804, 131.6915575809789, 94.9222869791213, 117.67528952130216, 54.65258367496772, 52.93589535959376, 57.31782922899325, 64.87999558653438, 70.66968459823302, 72.55979420687555, 64.03571792036274, 68.24031938297485, 73.08466817711293, 64.7912945202977, 64.48228202774276, 61.867961814120115]","[0.5039999485015869, 1.4300000667572021, 0.2610001564025879, 7.368000030517578, 0.08300018310546875, 0.7010002136230469, 0.2890000343322754, 0.5869998931884766, 0.24300003051757812, 0.06100010871887207, 0.42100000381469727, 0.2239999771118164, 0.5720000267028809, 1.7060000896453857, 1.5220000743865967, 0.09999990463256836, 0.10299992561340332, 0.48600006103515625, 0.503000020980835, 0.039999961853027344, 0.03500008583068848, 0.47299981117248535, 0.3880000114440918, 0.04400014877319336, 1.5479998588562012, 12.805000066757202, 11.242999792098999, 2.2840001583099365, 1.871999979019165, 0.49900007247924805, 0.1269998550415039, 0.2890000343322754, 0.36100006103515625, 0.37400007247924805, 0.3400001525878906, 0.0820000171661377, 0.1679999828338623, 0.17699980735778809, 0.1549999713897705, 0.14599990844726562, 0.08299994468688965, 0.06800007820129395, 0.14700007438659668, 0.08999991416931152, 0.0840001106262207, 0.08100008964538574, 0.04700016975402832, 0.01699995994567871]",,original,Original,None,High,Strong,False,False,,,mpc_diagnostic,formal/step4_33_main_model_based_raw.csv,27.858570638979426,,,,,,,,,,,,,
33,MPC-3,81,test_id,id_actual,id_reliable,3,,1667.9582633958096,1292.9227935973395,29.006795429369543,,57.13700032234192,1.1903541733821232,9.835999965667725,0,0,True,,100081,pure_mpc,4,48,True,,1.0,0.12500000058713587,"[23.33884271283026, 7.390408816428465, 3.699401771531471, 8.93443076675958, 5.450661963250343, 14.14520746052375, 5.737565109656372, 9.095700733370027, 9.439754879939173, 9.317248530289076, 20.112155833198425, 26.715228198149703, 27.458468670769697, 29.62071317392268, 10.121871532716908, 5.704481545808442, 5.415104064173082, 4.181740518872682, 2.9484729740722564, 1.715301428771817, 0.4822258834713777, 0.0, 0.0, 0.0, 12.423839792106653, 35.772241609514694, 3.699401869669616, 18.43853891215748, 19.313460069585496, 35.38642202217725, 61.300789238477044, 87.90200543783754, 97.56779739148308, 103.04618075989454, 116.6989121309942, 112.77750304094592, 55.66889373535791, 66.0181679097315, 59.95167389291488, 77.0961950509157, 71.97509155253145, 61.191993704990054, 49.728950925218655, 56.06499556556008, 57.327933388668214, 55.14839296073207, 60.271744480934466, 62.162151384905414]","[0.0820000171661377, 3.3259999752044678, 0.09800004959106445, 7.996999979019165, 0.3339998722076416, 1.2260000705718994, 0.09100008010864258, 0.6610000133514404, 1.4520001411437988, 0.9720001220703125, 0.4010000228881836, 0.23199987411499023, 2.238999843597412, 0.4200000762939453, 1.9739999771118164, 0.3900001049041748, 0.13000011444091797, 0.45399999618530273, 0.046000003814697266, 0.46200013160705566, 0.4160001277923584, 0.44700002670288086, 4.397000074386597, 3.2699999809265137, 9.835999965667725, 5.943000078201294, 0.28799986839294434, 2.074000120162964, 2.868000030517578, 1.0769999027252197, 0.437000036239624, 0.1510000228881836, 0.09400010108947754, 0.5090000629425049, 0.10899996757507324, 0.10099983215332031, 0.19499993324279785, 0.09499979019165039, 0.24600005149841309, 0.10899996757507324, 0.09200000762939453, 0.26600003242492676, 0.21300005912780762, 0.2820000648498535, 0.2569999694824219, 0.27899980545043945, 0.07699990272521973, 0.02200007438659668]",,original,Original,None,High,Strong,False,False,,,mpc_diagnostic,formal/step4_33_main_model_based_raw.csv,29.006795429369543,,,,,,,,,,,,,
33,MPC-3,82,test_id,id_actual,id_reliable,3,,1618.251724660957,1264.8465396940937,27.94055831091851,,51.4529983997345,1.0719374666611354,14.340999841690063,0,0,True,,100082,pure_mpc,4,48,True,,1.0,0.1250000024781391,"[21.164019106972173, 4.58127717687117, 4.237034864826845, 4.805004447301543, 5.195224491855499, 8.842902906693404, 6.164347087592464, 13.946681696647607, 11.612423185860006, 10.334146900229378, 19.352682894474718, 22.435058565929495, 30.47539005487299, 24.662072920377895, 32.710471386029326, 8.18428723000262, 5.546259201509577, 5.7277285715849375, 4.494340694051879, 3.2610488170182688, 2.0278530438646274, 0.794753166323405, 0.0, 0.0, 1.233037664253865, 2.466171537664898, 18.440951561296874, 15.654385243693113, 32.48419504357457, 34.31307730816358, 43.688877934058624, 78.23701948097361, 90.94720657236145, 105.37248931292724, 122.63816276992108, 107.09388065519072, 46.966722266149915, 64.43558174903023, 62.95687576798267, 60.52193234823306, 62.362120390659, 58.54338428264624, 52.16307865533275, 54.43324260972327, 64.02372908867939, 58.76931450120859, 69.06454600086943, 60.88673350547301]","[0.26399993896484375, 2.3630001544952393, 3.628000020980835, 0.32899999618530273, 0.34800004959106445, 3.1529998779296875, 0.0690000057220459, 0.307999849319458, 1.1519999504089355, 0.9509999752044678, 1.1599998474121094, 0.8659999370574951, 0.5119998455047607, 1.126000165939331, 0.2350001335144043, 2.682999849319458, 0.11899995803833008, 0.5370001792907715, 0.437999963760376, 0.05000019073486328, 0.04999995231628418, 0.4270000457763672, 0.039999961853027344, 0.442000150680542, 2.6449999809265137, 2.2939999103546143, 14.340999841690063, 4.671999931335449, 1.3650000095367432, 0.8509998321533203, 0.4140000343322754, 0.5419998168945312, 0.30500006675720215, 0.42599987983703613, 0.11500000953674316, 0.12299990653991699, 0.26199984550476074, 0.10199999809265137, 0.18899989128112793, 0.1940000057220459, 0.2709999084472656, 0.10500001907348633, 0.20299983024597168, 0.17299985885620117, 0.2590000629425049, 0.2589998245239258, 0.06599998474121094, 0.026999950408935547]",,original,Original,None,High,Strong,False,False,,,mpc_diagnostic,formal/step4_33_main_model_based_raw.csv,27.94055831091851,,,,,,,,,,,,,
33,MPC-3,83,test_id,id_actual,id_reliable,3,,1699.9911551342036,1322.5368740649549,28.54017067282999,,57.04599857330322,1.1884583036104839,15.615999937057495,0,0,True,,100083,pure_mpc,4,48,True,,1.0,0.12500000072835343,"[17.22111724901206, 9.508726749618866, 4.735440789440922, 4.932727793851666, 7.655447487818503, 5.3435867782300175, 11.302352713955894, 11.653234191184538, 6.16615, 6.957033541349288, 14.98685303464027, 24.27294614820901, 35.662218395945054, 23.609158989352885, 15.717898413198236, 18.26679216730212, 6.013648753266802, 4.780238622376002, 3.5469244914852016, 2.3137063605944013, 1.0805842297036004, 0.0, 0.0, 0.0, 1.2330379239939664, 28.72123120756221, 3.6994019225931853, 12.170584097659278, 32.21083161560226, 48.646087866041825, 62.45512982918797, 87.2329897675786, 112.7678088707163, 117.22389964070793, 133.56576944302623, 113.76993401219757, 51.410253857969344, 41.7570805655694, 59.404902392938915, 63.02261592292367, 56.865600177675475, 62.758635722043955, 64.53189047034198, 67.05815803756214, 63.26342737165204, 62.00681220977322, 59.303004235332054, 59.18528107301832]","[0.7239999771118164, 0.9160001277923584, 5.628999948501587, 0.08299994468688965, 3.741999864578247, 0.3900001049041748, 1.4830000400543213, 0.36699986457824707, 0.7050001621246338, 4.787999868392944, 0.6010000705718994, 0.7100000381469727, 0.6119999885559082, 1.9279999732971191, 6.807999849319458, 0.4629998207092285, 0.13699984550476074, 0.47299981117248535, 0.5139999389648438, 0.4960000514984131, 0.5, 0.053999900817871094, 0.05900001525878906, 0.046000003814697266, 1.6180000305175781, 15.615999937057495, 0.14499998092651367, 2.2269999980926514, 1.556999921798706, 0.45600008964538574, 0.14600014686584473, 0.0969998836517334, 0.38299989700317383, 0.12799978256225586, 0.11399984359741211, 0.12199997901916504, 0.2890000343322754, 0.2349998950958252, 0.26799988746643066, 0.10899996757507324, 0.2910001277923584, 0.2109999656677246, 0.10100007057189941, 0.10899996757507324, 0.21000003814697266, 0.2799999713897705, 0.07899999618530273, 0.026999950408935547]",,original,Original,None,High,Strong,False,False,,,mpc_diagnostic,formal/step4_33_main_model_based_raw.csv,28.54017067282999,,,,,,,,,,,,,
33,MPC-3,84,test_id,id_actual,id_reliable,3,,1798.6969717240127,1379.7734084486979,30.361765251463826,,62.162001848220825,1.2950417051712673,7.006999969482422,0,0,True,,100084,pure_mpc,4,48,True,,1.0,0.12500000114781143,"[11.655567806289627, 14.311011842018518, 3.985095847071901, 4.932727545160164, 10.645077195747982, 8.48353156652071, 6.146199792240929, 9.075404225275197, 8.907879218090798, 13.453599484091637, 19.469943462337778, 25.310760218958336, 22.907544587456556, 29.759123218614008, 14.031487801318875, 6.159752799174465, 5.916450674015457, 4.96004188538894, 3.726713759407092, 2.4934817156840245, 1.2603455903297227, 0.02730546534135357, 0.0, 3.146504687417533e-08, 1.2330379602656676, 28.953951610260436, 1.9141936133780528, 19.928363681322814, 54.52254350074213, 71.97326002277262, 61.81727502109704, 92.68380766956787, 116.63224115458183, 115.3078795725327, 134.5490854727039, 117.99201957399002, 48.69537527103896, 70.74847479734916, 58.406262358540026, 64.52794379999636, 57.11362589164803, 68.14666654820765, 65.11401899931039, 66.81908258660636, 55.73902130606435, 68.87507628132533, 65.60078629372933, 63.7839330049821]","[3.3389999866485596, 3.2960000038146973, 4.585999965667725, 0.34599995613098145, 2.9519999027252197, 3.555000066757202, 0.09400010108947754, 2.865000009536743, 2.2700002193450928, 1.6470000743865967, 0.5099999904632568, 0.30699992179870605, 4.818000078201294, 0.4550001621246338, 1.253999948501587, 0.3819999694824219, 0.09000015258789062, 4.3500001430511475, 0.5410001277923584, 0.0559999942779541, 0.04399991035461426, 0.04500007629394531, 7.006999969482422, 1.8670001029968262, 0.9079999923706055, 6.914999961853027, 0.8700001239776611, 3.4189999103546143, 0.7280001640319824, 0.14100003242492676, 0.14800000190734863, 0.11700010299682617, 0.11999988555908203, 0.1700000762939453, 0.1230001449584961, 0.11800003051757812, 0.2220001220703125, 0.10300016403198242, 0.23199987411499023, 0.11600017547607422, 0.2089998722076416, 0.0970001220703125, 0.13299989700317383, 0.11299991607666016, 0.2800002098083496, 0.11400008201599121, 0.05800008773803711, 0.032000064849853516]",,original,Original,None,High,Strong,False,False,,,mpc_diagnostic,formal/step4_33_main_model_based_raw.csv,30.361765251463826,,,,,,,,,,,,,
33,MPC-3,85,test_id,id_actual,id_reliable,3,,1716.7474073616286,1326.5560508128356,29.413861277079597,,71.21099829673767,1.4835624645153682,17.090999841690063,0,0,True,,100085,pure_mpc,4,48,True,,1.0,0.1250000007396079,"[21.230371346168674, 10.694659090826912, 11.110749488563254, 4.930329669550705, 6.546454202532584, 9.441545402804246, 16.13185251777844, 8.729615484323244, 5.917386319862043, 8.641154076207027, 19.461236861702602, 26.959258835681815, 33.24530053388029, 27.418223996847566, 14.561101768594613, 21.569010994662932, 5.5818916768163485, 4.348515150020343, 3.115234623224338, 1.8820500970622691, 0.6489615712661275, 0.0, 0.0, 0.0, 1.2330379498610387, 44.37074791149921, 23.437190409436813, 15.200204139083336, 13.4113208345978, 62.986702370422194, 63.74835727369536, 84.57529743074225, 109.34178598188981, 116.15066898545909, 117.2108812749415, 101.30004703027292, 50.78136600528996, 53.71374558528984, 62.32440284733289, 52.373430424876325, 67.35957921254803, 63.79449565356049, 64.51456603306139, 70.74743303365642, 54.37567531091623, 51.58256258395033, 49.89776612349032, 60.15123924737893]","[0.08999991416931152, 1.0350000858306885, 7.906999826431274, 0.07699990272521973, 3.0299999713897705, 2.052999973297119, 1.3970000743865967, 1.5280001163482666, 0.07999992370605469, 1.8050000667572021, 0.4789998531341553, 0.2799999713897705, 3.627000093460083, 0.4049999713897705, 2.6419999599456787, 0.557999849319458, 0.3269999027252197, 0.48599982261657715, 0.4849998950958252, 0.04399991035461426, 0.05900001525878906, 0.04799985885620117, 5.977999925613403, 0.4179999828338623, 0.6600000858306885, 3.4129998683929443, 7.48199987411499, 17.090999841690063, 3.305999994277954, 0.5080001354217529, 0.37999987602233887, 0.35700011253356934, 0.3639998435974121, 0.37800002098083496, 0.12400007247924805, 0.1099998950958252, 0.3059999942779541, 0.11800003051757812, 0.10799980163574219, 0.30299997329711914, 0.08700013160705566, 0.32200002670288086, 0.13100004196166992, 0.09999990463256836, 0.312999963760376, 0.29399991035461426, 0.08899998664855957, 0.029000043869018555]",,original,Original,None,High,Strong,False,False,,,mpc_diagnostic,formal/step4_33_main_model_based_raw.csv,29.413861277079597,,,,,,,,,,,,,
33,MPC-3,86,test_id,id_actual,id_reliable,3,,1667.5045179963429,1321.0429915624934,26.22636270331099,,98.48800039291382,2.0518333415190377,34.420000076293945,0,0,True,,100086,pure_mpc,4,48,True,,1.0,0.12500000079512738,"[9.019058233156963, 11.910621754484803, 9.76507655100812, 4.932727334512696, 6.126602691485099, 9.440050567970957, 8.738045322918913, 10.864215934978693, 6.87690735226125, 8.58938971322022, 18.096970953772885, 25.721262382745252, 33.96410452183348, 35.63904929441291, 22.630716749512253, 6.16615, 6.050193629470559, 4.816780654296696, 3.583463679122833, 2.3502427039489695, 1.1171177287751057, 0.0, 0.0, 0.0, 0.675936876474915, 26.753196642163008, 17.07903142545762, 4.375496641008128, 26.67413907952277, 23.266361465322525, 69.33626518851865, 80.26216160915806, 92.92705803231593, 108.18439660644958, 103.39742706213359, 130.11344505012738, 57.160787875147655, 49.13443959963678, 61.05216005490551, 72.17437962347131, 63.80429756773422, 69.98062950285578, 58.28303774683457, 61.19091714342148, 55.49313639941373, 70.30602676407705, 66.63293269418843, 52.8481095921152]","[0.750999927520752, 0.48199987411499023, 5.309000015258789, 0.34800004959106445, 0.0820000171661377, 1.8250000476837158, 11.099999904632568, 0.48000001907348633, 0.7699999809265137, 2.2300000190734863, 0.4679999351501465, 0.7580001354217529, 1.7980000972747803, 0.4289999008178711, 1.5870001316070557, 0.12100005149841309, 0.3489999771118164, 0.5520000457763672, 0.5300002098083496, 0.5959999561309814, 0.4830000400543213, 0.4609999656677246, 0.05500006675720215, 0.46700000762939453, 3.2179999351501465, 34.420000076293945, 17.144999980926514, 0.6649999618530273, 2.6050000190734863, 3.8320000171661377, 0.6619999408721924, 0.6809999942779541, 0.35899996757507324, 0.34800004959106445, 0.38300013542175293, 0.08699989318847656, 0.11400008201599121, 0.2929999828338623, 0.20799994468688965, 0.0969998836517334, 0.1790001392364502, 0.11100006103515625, 0.27699995040893555, 0.2720000743865967, 0.2820000648498535, 0.12399983406066895, 0.06599998474121094, 0.029000043869018555]",,original,Original,None,High,Strong,False,False,,,mpc_diagnostic,formal/step4_33_main_model_based_raw.csv,26.22636270331099,,,,,,,,,,,,,
33,MPC-3,87,test_id,id_actual,id_reliable,3,,1687.1565588312644,1335.3342894852017,26.34713061114437,,81.99900007247925,1.7083125015099843,17.744999885559082,0,0,True,,100087,pure_mpc,4,48,True,,1.0,0.12500000132884959,"[14.83385688272537, 13.034582107292952, 3.5393306215839586, 4.532780422791487, 5.765893076278774, 10.373031510366781, 7.22487660151788, 8.26665208970427, 11.650636965534883, 8.559290313644185, 22.951518329156904, 29.148948487779535, 33.295173422751084, 34.11254640588709, 19.751383465029413, 11.948142451876157, 5.252726359685009, 4.0193754527773295, 3.283672611419597, 2.377472263459825, 1.1443451685221335, 0.0, 0.0, 0.6529268289702473, 1.3502693696519747, 2.583412434132334, 7.075588850814007, 9.422522556210904, 24.451537157079905, 45.46313428126862, 73.08835644824742, 96.75407061457601, 115.71058974721466, 108.16741983183107, 127.94402707886242, 100.8282418839468, 58.50454005824146, 56.87860642017833, 69.93183627427356, 60.34514268799033, 68.12355123178168, 56.07725008650821, 48.818738601504684, 67.05472853748263, 53.814888702620806, 56.26478294914696, 58.76031106255212, 64.02385012639246]","[0.3619999885559082, 3.74399995803833, 0.33099985122680664, 0.34999990463256836, 0.08999991416931152, 3.510999917984009, 3.9240000247955322, 4.2190001010894775, 0.692000150680542, 2.0490000247955322, 0.5240001678466797, 0.28800010681152344, 1.0520000457763672, 0.437000036239624, 0.7919998168945312, 5.111999988555908, 4.4100000858306885, 0.5080001354217529, 0.6699998378753662, 7.934000015258789, 0.5199999809265137, 0.5230000019073486, 6.16700005531311, 3.2850000858306885, 2.7319998741149902, 0.5779998302459717, 17.744999885559082, 4.288999795913696, 1.3240001201629639, 0.5610001087188721, 0.15399980545043945, 0.11100006103515625, 0.125, 0.48600006103515625, 0.13199996948242188, 0.11300015449523926, 0.18799996376037598, 0.18400001525878906, 0.11899995803833008, 0.21199989318847656, 0.14300012588500977, 0.2239999771118164, 0.252000093460083, 0.10300016403198242, 0.2980000972747803, 0.315000057220459, 0.08599996566772461, 0.03099989891052246]",,original,Original,None,High,Strong,False,False,,,mpc_diagnostic,formal/step4_33_main_model_based_raw.csv,26.34713061114437,,,,,,,,,,,,,
33,MPC-3,88,test_id,id_actual,id_reliable,3,,1686.1875810544693,1322.1408773277124,27.5346379473995,,97.70199990272522,2.0354583313067756,20.93399977684021,0,0,True,,100088,pure_mpc,4,48,True,,1.0,0.12500000091097815,"[18.327902610058707, 3.13995483285832, 5.534566398198963, 7.852767057949189, 12.564857293089249, 9.476982198752928, 12.463044257329816, 13.729204344895805, 8.696826648892031, 6.017909552075359, 20.088789705793033, 29.153130411702115, 30.90740540518624, 35.81094080561269, 22.116611724907294, 11.176422638012706, 6.16615, 5.466314149748933, 4.232946700903452, 2.9996752520546828, 1.7667195127709638, 0.5336399655235967, 0.0, 0.0, 27.78094197654205, 2.4661719389869488, 13.913608767684009, 11.69307122786691, 8.773157136682888, 52.40650758330932, 41.00374387293137, 90.21970059383557, 104.88687929136317, 111.31174497813328, 107.57447927950189, 103.54525644129806, 55.063430086709886, 55.045024373095636, 63.22925320697093, 58.46919935778256, 77.01871442067743, 71.58203583755821, 68.60628676698587, 50.095348072896684, 52.3595904641369, 62.23586342434933, 67.02144701401363, 61.663363474840736]","[0.4010000228881836, 6.564000129699707, 6.053999900817871, 11.574000120162964, 2.1670000553131104, 1.8880000114440918, 1.2929999828338623, 0.4100000858306885, 2.422999858856201, 0.08799982070922852, 0.48000001907348633, 0.2990000247955322, 2.863999843597412, 0.4890000820159912, 0.127000093460083, 0.45399999618530273, 0.11800003051757812, 0.6679999828338623, 0.059999942779541016, 0.06000018119812012, 0.07200002670288086, 0.040000200271606445, 5.815000057220459, 0.4460000991821289, 20.93399977684021, 0.5069999694824219, 9.565999984741211, 14.901999950408936, 1.8529999256134033, 0.39800000190734863, 0.75, 0.11600017547607422, 0.38499999046325684, 0.7100000381469727, 0.14700007438659668, 0.12199997901916504, 0.20300006866455078, 0.309999942779541, 0.21599984169006348, 0.309999942779541, 0.10899996757507324, 0.12800002098083496, 0.22699999809265137, 0.3229999542236328, 0.32399988174438477, 0.19099998474121094, 0.07799983024597168, 0.03900003433227539]",,original,Original,None,High,Strong,False,False,,,mpc_diagnostic,formal/step4_33_main_model_based_raw.csv,27.5346379473995,,,,,,,,,,,,,
33,MPC-3,89,test_id,id_actual,id_reliable,3,,1792.3841699733814,1395.1686623015219,28.47078768359075,,60.5799994468689,1.2620833218097687,10.330999851226807,0,0,True,,100089,pure_mpc,4,48,True,,1.0,0.12500000088047777,"[23.507936206666802, 10.819325249266315, 8.256431881696205, 4.932727709624072, 5.261210869945615, 6.952023840668597, 8.580040206547796, 13.965665751495067, 8.489634372333983, 10.787033715777742, 17.74491269663868, 28.677241637706636, 30.30754496672445, 28.216355596934264, 18.624526673344974, 6.083223740321681, 4.849808194924075, 5.024943416718254, 3.7916102391271544, 2.5583731840674244, 1.3252320071007373, 0.09218683049999471, 0.0, 0.0, 0.0, 1.2330379434774135, 42.39129308942564, 33.00717417742304, 41.609693941060684, 52.83131078934422, 55.21947241899162, 114.02496522897609, 83.4504141905704, 119.97340822708343, 126.76012689087678, 125.70385770440241, 58.6411738943547, 46.84222644870943, 63.48906132511836, 69.36247317127344, 65.95893574159764, 62.91824634434138, 69.04565721621813, 74.77291972365154, 62.64807714669315, 62.29620635292734, 60.583405103550064, 50.77304391518366]","[0.30900001525878906, 4.398000001907349, 2.7059998512268066, 0.11400008201599121, 0.39300012588500977, 2.3399999141693115, 10.330999851226807, 0.40000009536743164, 2.4630000591278076, 1.1539998054504395, 0.9679999351501465, 0.31099987030029297, 0.5580000877380371, 0.43400001525878906, 1.5270001888275146, 0.13199996948242188, 0.06800007820129395, 0.48000001907348633, 0.4780001640319824, 3.9589998722076416, 0.056999921798706055, 0.046000003814697266, 0.4960000514984131, 8.023000001907349, 0.5509998798370361, 2.7160000801086426, 4.75600004196167, 2.7809998989105225, 2.192999839782715, 0.6990001201629639, 0.7769999504089355, 0.12599992752075195, 0.6610000133514404, 0.4509999752044678, 0.35700011253356934, 0.08699989318847656, 0.20799994468688965, 0.3730001449584961, 0.2889997959136963, 0.11699986457824707, 0.11300015449523926, 0.28999996185302734, 0.11800003051757812, 0.09200000762939453, 0.28600001335144043, 0.25999999046325684, 0.06699991226196289, 0.06699991226196289]",,original,Original,None,High,Strong,False,False,,,mpc_diagnostic,formal/step4_33_main_model_based_raw.csv,28.47078768359075,,,,,,,,,,,,,
