system,scenario_id,current_time,terminal_start,terminal_pre_step,terminal_source,terminal_P_DG_5,terminal_SOC_BSS_9,forecast_terminal_load_sum,actual_terminal_load_sum,source_completed,source_cost_so_far,icnn_q_value,icnn_terminal_cost,icnn_actor_json,icnn_status,oracle_tail_cost,oracle_tail_runtime_s,oracle_tail_status,closed_loop_violation_pu,failure_message,z_state_json,experiment_tag
33,80,0,3,2,MPC-3,0.4230410394471694,0.5,2.7241284894427036,2.564212480438701,True,10.482018162480014,-18.224674361925196,1822.4674361925195,"[1.0, 1.0, 1.0, 1.0, 1.0]",exact,1346.313420347943,9.273000001907349,2,0.0,,"[0.06382978723404255, 0.28111337200083747, 0.036359757146119484, 0.3339243758086678, 0.2916422018452587, 0.2773767065689086, 0.16774813428718052, 0.22832849216971596, 0.228892135060983, 0.16643852991748684, 0.16801588378416216, 0.05428034007975913, 0.13325393701978946, 0.008979329100897953, 0.24050334717904345, 0.24625359319421425, 0.12691188484578025, 0.15882818058407552, 0.22232274489423834, 0.3138738691431812, 0.4067522170350592, 0.08196612697570484, 0.23831483869431377, 0.4215555799112709, 0.22382663068843062, 0.0939987321924628, 0.047078760316623794, 0.0688880676686484, 0.2683110681156925, 0.11750648027204003, 0.15712170421906424, 0.26458165275970214, 0.22482636577944742, 0.14201654455358315, -0.02177354156946072, 0.12237171547317037, 0.04786228041022239, 0.19329328214322458, 0.19338265975755262, 0.15303463414385346, 0.10299678939678718, 0.40209819775067335, 0.31146528548980945, 0.3036596224954397, 0.19247153778333898, 0.1433511197109475, 0.09327072298979738, 0.022381084926128062, 0.23584330975454154, 0.3854526557153035, 0.10881988085577261, 0.24123693029787613, 0.1915623055493335, 0.012377228510371081, 0.06604096311352933, -0.027113810106166033, 0.25661924596689206, 0.3810780151627827, 0.04132674331974031, 0.03793593869643153, 0.23733071558125332, 0.4000401918737172, 0.20065893680814115, 0.15899332182369055, -0.07519657074451952, 0.0, 0.7382537628728945, 0.42304061640655305, 0.1666665925926255]",icnn_value_diagnostic
33,80,8,11,10,MPC-3,1.0,0.12499999963139416,2.6290449724771987,2.6227183115077537,True,90.68244000261562,-17.22678564015065,1722.678564015065,"[1.0, 1.0, 1.0, 1.0, -1.0]",exact,1285.3098934616103,7.09499979019165,2,0.0,,"[0.23404255319148937, 0.09881632074632814, 0.1263774851242376, 0.15727677297263487, 0.09103039333520066, 0.12407797081084485, 0.12431082555574888, 0.05956544855938035, 0.11972538512495814, 0.2857157786055524, 0.15579649619143893, 0.12944032365148953, 0.1762638523928624, 0.16157798306496982, 0.22967468625422202, 0.17254039781600505, 0.10199621045330307, 0.24742540357242854, 0.12759917482345892, 0.141004530194583, 0.05434494619358587, 0.2208336306463262, 0.16284851966258138, 0.3676453747194195, 0.2434137213857833, 0.25650017208643755, 0.1850821430930464, 0.17608967233805406, 0.17278328661146125, 0.07660561524731943, 0.14294912918153538, 0.17082483644588187, 0.07766639540974915, 0.23048182152742064, 0.020754263910267537, 0.08446678656780221, 0.2620772558343447, 0.09399112160589525, 0.2749901038210946, 0.1824115373288009, 0.16921190121618734, 0.15577355375947355, 0.10282146615162809, 0.26674330484551134, 0.12520638916469215, 0.20873272178375604, 0.2300322367235414, 0.0873856308624019, 0.2077890830252327, 0.12582635193100364, 0.10957210878966754, 0.058298277042412916, 0.18052998831379938, 0.2621448294569001, 0.2677640728886286, 0.14366553597817033, 0.36629439953142473, 0.20287016219490317, 0.07993402596152596, 0.21505368393911228, 0.30170877701568716, 0.16193764548146264, 0.1578567832231277, 0.251655557539738, 0.2884697817632785, 0.0, 0.6456426885312372, 0.9999990000010001, -1.638247450979749e-10]",icnn_value_diagnostic
33,80,16,19,18,MPC-3,0.6647751907442463,0.12500001397983798,3.3637852392506162,3.3064905868741383,True,241.83749253324055,-17.11498687250694,1711.498687250694,"[1.0, 1.0, 1.0, 1.0, -1.0]",exact,1206.3633301570385,8.51799988746643,2,0.0,,"[0.40425531914893614, 0.5162723606927785, 0.4596448438125336, 0.5398957224833947, 0.5616520260660127, 0.5624209759417343, 0.6675988099254538, 0.4272075699855905, 0.5192506637271032, 0.5456885684824614, 0.5078068658597962, 0.5536485127604879, 0.5085280508766435, 0.4778769944670179, 0.3557261664478008, 0.5635059890856036, 0.6597257435451332, 0.49333954855250567, 0.46340035539797947, 0.38326542249387124, 0.4255455199710766, 0.4425393362513244, 0.4263569740314291, 0.5849434577656624, 0.41593871061432036, 0.4103894976406745, 0.48025000575490373, 0.4073673754010844, 0.39335380919343316, 0.4816474251656657, 0.5902028995321649, 0.643566014033538, 0.699499882540333, 0.6150458833695385, 0.5936096060462119, 0.6016636499396684, 0.6668365075425036, 0.37858154511268644, 0.5544274546800556, 0.49505282947398777, 0.5354890425272947, 0.46918241284233, 0.45907405459786355, 0.5284057415770119, 0.6361152630284693, 0.8088899868160985, 0.4492621706332651, 0.6603339383815309, 0.4462165962807535, 0.41393652575239914, 0.5178716446190621, 0.3014715661632082, 0.5611220303962273, 0.4778086610478616, 0.28401199062913257, 0.5291328450909368, 0.40136427270389896, 0.6205294989389496, 0.6218209572290967, 0.32683991689484343, 0.5928269580335357, 0.41018203301366807, 0.421394979746573, 0.37119283183401813, 0.6249083543942725, 0.5438343724750323, 0.773485586259673, 0.6647745259697204, 6.213258563743457e-09]",icnn_value_diagnostic
33,80,24,27,26,MPC-3,0.2615374386200211,0.21117114333812234,4.0325838208842715,4.127868819061592,True,252.7358863048632,-16.830222699566107,1683.0222699566107,"[1.0, 1.0, 1.0, 1.0, 1.0]",exact,1551.682692683285,4.102999925613403,2,0.0,,"[0.574468085106383, 0.9704026887782317, 0.750249873486847, 0.8742891958477417, 0.9530749713640188, 0.8535900881019265, 0.8194888282201449, 0.7192685066619521, 0.847844335996801, 0.8109232359394279, 0.8036373975620649, 0.8076482912095935, 0.7584693790922599, 0.6625587807146882, 0.811196310759956, 0.9151686602585622, 1.0199087720077766, 0.8209703304904776, 0.7211468727739244, 0.9320653969457073, 0.8935719020026189, 1.0227834606882895, 0.7912313653598302, 0.7213613137948264, 0.7134201333949876, 0.9022941153053354, 0.68202811382489, 0.8648574906524006, 0.8865987282850322, 0.7722142874293699, 0.8478014898608242, 0.9388254492828467, 0.7547169717912081, 0.8557726229246564, 0.7971874678451113, 0.934253118132853, 0.79332822683498, 0.8561517186761514, 0.912869518276413, 1.0096271581515355, 0.7391375913836765, 0.8593247713612375, 0.8716332845145854, 1.057623311918521, 0.9132043400456742, 0.8083407944325488, 0.8751568249704341, 0.9134053966837469, 0.8254224378046433, 0.8578389664362334, 0.733679404192848, 0.8521748003006664, 1.0238932809547878, 0.7659866029654105, 0.8241424246354444, 0.8431301412398814, 0.7668341804278952, 0.7940408973930985, 0.9381139442491833, 0.9187330257808691, 0.9253147186577042, 0.6942157325190307, 0.8066470496290542, 0.5862839153797129, 1.092739528090028, 0.5490324726288931, 0.6891487603451706, 0.261537177082844, 0.038298268906601526]",icnn_value_diagnostic
33,80,32,35,34,MPC-3,1.0,0.12499999987164193,4.078748580245426,4.138713804272314,True,669.4507235177113,-10.968291694323607,1096.8291694323607,"[1.0, -0.8411387436177684, 1.0, 1.0, 1.0]",exact,911.2974344529814,0.2630000114440918,2,0.0,,"[0.7446808510638298, 0.9448416236648729, 0.9187881801692978, 0.8499877303645692, 0.7973227766891211, 0.9643322796408488, 0.7283031429493539, 0.6456612412594643, 0.8149795207600949, 0.7055706424136959, 0.8560818618461206, 0.9574960833486182, 0.8104733402003279, 0.8661262569502072, 0.7199820150231547, 0.7309470263727839, 0.717643394014142, 1.0428375487073687, 0.8902419279255258, 0.960664600924094, 0.7566944933100817, 0.8776197760316167, 0.7567972047584482, 0.9195455232738322, 0.8741722721884927, 0.6437618364218581, 0.841362101597715, 0.9268635219042068, 0.7134415717732144, 0.8724731119729243, 0.6073012877267254, 0.8530798882762244, 0.8208809808200436, 0.9346034072497992, 0.7854384263614582, 0.8745256571873451, 0.7039153397391437, 0.7722805451273687, 0.7822909856340922, 0.919498549177396, 0.7946469376043105, 0.7547282449514521, 0.975639369902127, 0.9004620756825991, 0.7904162691158714, 1.084420258402092, 0.6682450712226676, 0.9661965161583553, 0.6363672949892366, 0.8456569382385772, 0.7963043307665657, 0.551188945976563, 0.8990194635838824, 0.7904072275027191, 0.8913813588964669, 0.7124786835979219, 0.8992023306099517, 0.8657582061203625, 0.6212128368096472, 0.7528829283148825, 0.8331314345738601, 0.913417308187596, 0.7253849725718214, 0.6674612710738226, 0.8509423339146694, 0.06747813210884086, 0.7199501254683541, 0.9999990000010001, -5.704800760957638e-11]",icnn_value_diagnostic
33,80,40,43,42,MPC-3,1.0,0.12500000103456463,3.384429255984438,3.332130252121777,True,1305.1453144961245,-4.922617637806527,492.26176378065276,"[1.0, 1.0, 1.0, 1.0, -1.0]",exact,332.4665259177542,0.07500004768371582,2,0.0,,"[0.9148936170212766, 0.40971095706029814, 0.5588604200496976, 0.7864581528911029, 0.3930142945023223, 0.47913266130398935, 0.5011006018769825, 0.4996425270376452, 0.6837319242344261, 0.5020613435807396, 0.7566104510903439, 0.6866006656429663, 0.48571037945869067, 0.4055454118374411, 0.5060018149243798, 0.5531965732949075, 0.5915628190695521, 0.6483817783278321, 0.42037765604101374, 0.36837271151182754, 0.46310482432379985, 0.6203454221328272, 0.4502148029886683, 0.5062527375355214, 0.5317243108117405, 0.3967265302235796, 0.5386797208269299, 0.6216991374151817, 0.56870205144688, 0.48769379738306706, 0.48236821081337206, 0.5152760128911508, 0.3537839189979061, 0.4969066277105288, 0.5148297661145798, 0.4413739791338562, 0.549081979243504, 0.5569095873223383, 0.6532324871609114, 0.582081683336468, 0.550508731582034, 0.4788479838454716, 0.7125519187252384, 0.3133260358441744, 0.4041368402179361, 0.6352271105474839, 0.35491645240487735, 0.5726980409677369, 0.3998513183074133, 0.5264907475646499, 0.4069765598639128, 0.4626254712949136, 0.6817204545921179, 0.555385192381162, 0.4521100445187871, 0.5247913607025192, 0.5678295468115139, 0.36871559157059897, 0.5176595535765772, 0.32948790115560356, 0.6257006519641928, 0.6003652908995718, 0.45810452209710273, 0.5336179420621464, 0.4681861136651308, 0.0, 0.6610361005866401, 0.9999990000010001, 4.598062971574014e-10]",icnn_value_diagnostic
33,80,0,3,2,Proposed-H3,0.6,2.0,2.7241284894427036,2.564212480438701,True,43.16148344873406,-14.158533580059316,1415.8533580059316,"[1.0, 1.0, 1.0, 1.0, 1.0]",exact,1259.9975290381678,13.315999984741211,2,0.0,,"[0.06382978723404255, 0.28111337200083747, 0.036359757146119484, 0.3339243758086678, 0.2916422018452587, 0.2773767065689086, 0.16774813428718052, 0.22832849216971596, 0.228892135060983, 0.16643852991748684, 0.16801588378416216, 0.05428034007975913, 0.13325393701978946, 0.008979329100897953, 0.24050334717904345, 0.24625359319421425, 0.12691188484578025, 0.15882818058407552, 0.22232274489423834, 0.3138738691431812, 0.4067522170350592, 0.08196612697570484, 0.23831483869431377, 0.4215555799112709, 0.22382663068843062, 0.0939987321924628, 0.047078760316623794, 0.0688880676686484, 0.2683110681156925, 0.11750648027204003, 0.15712170421906424, 0.26458165275970214, 0.22482636577944742, 0.14201654455358315, -0.02177354156946072, 0.12237171547317037, 0.04786228041022239, 0.19329328214322458, 0.19338265975755262, 0.15303463414385346, 0.10299678939678718, 0.40209819775067335, 0.31146528548980945, 0.3036596224954397, 0.19247153778333898, 0.1433511197109475, 0.09327072298979738, 0.022381084926128062, 0.23584330975454154, 0.3854526557153035, 0.10881988085577261, 0.24123693029787613, 0.1915623055493335, 0.012377228510371081, 0.06604096311352933, -0.027113810106166033, 0.25661924596689206, 0.3810780151627827, 0.04132674331974031, 0.03793593869643153, 0.23733071558125332, 0.4000401918737172, 0.20065893680814115, 0.15899332182369055, -0.07519657074451952, 0.0, 0.7382537628728945, 0.5999994000006, 0.8333329629631275]",icnn_value_diagnostic
33,80,8,11,10,Proposed-H3,1.0,0.125,2.6290449724771987,2.6227183115077537,True,102.63196621055558,-17.226785639583877,1722.6785639583877,"[1.0, 1.0, 1.0, 1.0, -1.0]",exact,1285.3098934167804,9.006999969482422,2,0.0,,"[0.23404255319148937, 0.09881632074632814, 0.1263774851242376, 0.15727677297263487, 0.09103039333520066, 0.12407797081084485, 0.12431082555574888, 0.05956544855938035, 0.11972538512495814, 0.2857157786055524, 0.15579649619143893, 0.12944032365148953, 0.1762638523928624, 0.16157798306496982, 0.22967468625422202, 0.17254039781600505, 0.10199621045330307, 0.24742540357242854, 0.12759917482345892, 0.141004530194583, 0.05434494619358587, 0.2208336306463262, 0.16284851966258138, 0.3676453747194195, 0.2434137213857833, 0.25650017208643755, 0.1850821430930464, 0.17608967233805406, 0.17278328661146125, 0.07660561524731943, 0.14294912918153538, 0.17082483644588187, 0.07766639540974915, 0.23048182152742064, 0.020754263910267537, 0.08446678656780221, 0.2620772558343447, 0.09399112160589525, 0.2749901038210946, 0.1824115373288009, 0.16921190121618734, 0.15577355375947355, 0.10282146615162809, 0.26674330484551134, 0.12520638916469215, 0.20873272178375604, 0.2300322367235414, 0.0873856308624019, 0.2077890830252327, 0.12582635193100364, 0.10957210878966754, 0.058298277042412916, 0.18052998831379938, 0.2621448294569001, 0.2677640728886286, 0.14366553597817033, 0.36629439953142473, 0.20287016219490317, 0.07993402596152596, 0.21505368393911228, 0.30170877701568716, 0.16193764548146264, 0.1578567832231277, 0.251655557539738, 0.2884697817632785, 0.0, 0.6456426885312372, 0.9999990000010001, 0.0]",icnn_value_diagnostic
33,80,16,19,18,Proposed-H3,1.0,0.41607687704236507,3.3637852392506162,3.3064905868741383,True,230.88877287416238,-15.365676236868827,1536.5676236868828,"[1.0, 1.0, 1.0, 1.0, -1.0]",exact,1166.4776830207747,8.838000059127808,2,0.0,,"[0.40425531914893614, 0.5162723606927785, 0.4596448438125336, 0.5398957224833947, 0.5616520260660127, 0.5624209759417343, 0.6675988099254538, 0.4272075699855905, 0.5192506637271032, 0.5456885684824614, 0.5078068658597962, 0.5536485127604879, 0.5085280508766435, 0.4778769944670179, 0.3557261664478008, 0.5635059890856036, 0.6597257435451332, 0.49333954855250567, 0.46340035539797947, 0.38326542249387124, 0.4255455199710766, 0.4425393362513244, 0.4263569740314291, 0.5849434577656624, 0.41593871061432036, 0.4103894976406745, 0.48025000575490373, 0.4073673754010844, 0.39335380919343316, 0.4816474251656657, 0.5902028995321649, 0.643566014033538, 0.699499882540333, 0.6150458833695385, 0.5936096060462119, 0.6016636499396684, 0.6668365075425036, 0.37858154511268644, 0.5544274546800556, 0.49505282947398777, 0.5354890425272947, 0.46918241284233, 0.45907405459786355, 0.5284057415770119, 0.6361152630284693, 0.8088899868160985, 0.4492621706332651, 0.6603339383815309, 0.4462165962807535, 0.41393652575239914, 0.5178716446190621, 0.3014715661632082, 0.5611220303962273, 0.4778086610478616, 0.28401199062913257, 0.5291328450909368, 0.40136427270389896, 0.6205294989389496, 0.6218209572290967, 0.32683991689484343, 0.5928269580335357, 0.41018203301366807, 0.421394979746573, 0.37119283183401813, 0.6249083543942725, 0.5438343724750323, 0.773485586259673, 0.9999990000010001, 0.12936744341107628]",icnn_value_diagnostic
33,80,24,27,26,Proposed-H3,1.0,2.3749999999669953,4.0325838208842715,4.127868819061592,True,265.76205004418216,-13.148713125211083,1314.8713125211084,"[1.0, 1.0, 1.0, 1.0, -1.0]",exact,1100.4665953840629,5.375999927520752,2,0.0,,"[0.574468085106383, 0.9704026887782317, 0.750249873486847, 0.8742891958477417, 0.9530749713640188, 0.8535900881019265, 0.8194888282201449, 0.7192685066619521, 0.847844335996801, 0.8109232359394279, 0.8036373975620649, 0.8076482912095935, 0.7584693790922599, 0.6625587807146882, 0.811196310759956, 0.9151686602585622, 1.0199087720077766, 0.8209703304904776, 0.7211468727739244, 0.9320653969457073, 0.8935719020026189, 1.0227834606882895, 0.7912313653598302, 0.7213613137948264, 0.7134201333949876, 0.9022941153053354, 0.68202811382489, 0.8648574906524006, 0.8865987282850322, 0.7722142874293699, 0.8478014898608242, 0.9388254492828467, 0.7547169717912081, 0.8557726229246564, 0.7971874678451113, 0.934253118132853, 0.79332822683498, 0.8561517186761514, 0.912869518276413, 1.0096271581515355, 0.7391375913836765, 0.8593247713612375, 0.8716332845145854, 1.057623311918521, 0.9132043400456742, 0.8083407944325488, 0.8751568249704341, 0.9134053966837469, 0.8254224378046433, 0.8578389664362334, 0.733679404192848, 0.8521748003006664, 1.0238932809547878, 0.7659866029654105, 0.8241424246354444, 0.8431301412398814, 0.7668341804278952, 0.7940408973930985, 0.9381139442491833, 0.9187330257808691, 0.9253147186577042, 0.6942157325190307, 0.8066470496290542, 0.5862839153797129, 1.092739528090028, 0.5490324726288931, 0.6891487603451706, 0.9999990000010001, 0.9999995555410842]",icnn_value_diagnostic
