system,method,scenario_id,split,actual_case,forecast_case,horizon,gamma_Q,cost,gap_percent,voltage_violation,solve_time_s,avg_step_time_s,max_step_time_s,solver_fail_count,timeout_count,completed,incomplete_reason,seed,solver_kind,solver_window,executed_steps,include_tail,cost_accounting,final_P_DG_5,final_SOC_BSS_9,step_costs_json,step_times_json,certified_global,gurobi_status,mean_num_vars,mean_num_bin_vars,mean_num_constrs,mean_num_qconstrs,mean_num_genconstrs,mean_model_runtime_s,mean_mip_gap,max_mip_gap,mean_model_status,min_model_sol_count,failure_message,experiment_tag,completed_bool,source_raw,source_rank,max_steps,mean_std_nn_binary_count,step_model_statuses_json,step_model_sol_counts_json,num_optimal_steps,num_timelimit_steps,step_P_DG_5_json,step_SOC_BSS_9_json,step_P_BSS_json,step_P_grid_json,step_loss_json,step_load_total_json,step_pv_11_json,step_wind_26_json,policy_asset_dir,policy_stochastic_eval,policy_eval_mode,voltage_violation_metric,penalized_cost,economic_generation_cost,balance_penalty_cost,constraint_penalty,step_economic_costs_json,step_penalized_costs_json,step_balance_penalties_json,step_reward_penalties_json,step_balance_errors_json,step_cost_constraints_json,step_voltage_violations_pu_json,step_legacy_cost_constraints_json,mean_economic_generation_cost,mean_penalized_cost,mean_balance_penalty,mean_constraint_penalty,mean_cost_constraint,mean_voltage_violation_pu,legacy_mean_cost_constraint,legacy_cum_cost_constraint,policy_eval_seed,perfect_cost,gap_to_perfect_percent
33,MPC-3,95,test_id,id_actual,id_reliable,3,,1603.4040323552476,,,62.48600053787232,1.30179167787234,8.971999883651733,0,0,True,,100095,pure_mpc,4,48,True,,1.0,0.125000000826738,"[15.286355845240099, 3.4468774403619578, 4.658552455871427, 4.932727723470603, 5.402543211280874, 6.309714081241086, 5.280551312988484, 6.166080601505607, 8.953035019136621, 14.327566076159147, 18.20519087133033, 29.283721188340877, 27.133748210218926, 35.861562393063444, 14.772951037245788, 15.960480663185276, 5.0364543766886865, 3.906760430479636, 2.785073504655001, 3.3085124793310827, 2.07553271379767, 0.8424291254214663, 0.0, 0.0, 1.233037644411797, 2.4116373268886986, 3.644862953872509, 6.645374705587842, 16.63177861682747, 52.76090626197611, 62.15264407101722, 81.1074141289556, 97.37015270042306, 106.39548033431386, 96.46303531473887, 129.93003744563856, 64.73712220058262, 49.543997364417635, 46.27242649893248, 64.73337490065322, 59.52974602882731, 61.54233352764876, 50.34364264789429, 64.48773369357217, 49.873473382800256, 69.40358771926373, 65.12341680549072, 67.13039531949896]","[0.3399999141693115, 8.182999849319458, 3.421999931335449, 0.09800004959106445, 0.3660001754760742, 3.609999895095825, 0.3920001983642578, 0.08500003814697266, 0.4739999771118164, 1.5310001373291016, 0.5080001354217529, 0.307999849319458, 2.0349998474121094, 0.11599993705749512, 0.5659999847412109, 0.4720001220703125, 1.8250000476837158, 5.414000034332275, 6.331999778747559, 2.243000030517578, 0.05900001525878906, 0.0410001277923584, 0.06399989128112793, 8.971999883651733, 2.455000162124634, 0.5910000801086426, 0.5550000667572021, 3.056999921798706, 3.429999828338623, 0.3940000534057617, 0.39300012588500977, 0.37400007247924805, 0.11599993705749512, 0.4719998836517334, 0.6979999542236328, 0.08899998664855957, 0.1360001564025879, 0.3059999942779541, 0.3490002155303955, 0.10199999809265137, 0.2820000648498535, 0.20000004768371582, 0.2839999198913574, 0.20600008964538574, 0.3080000877380371, 0.12800002098083496, 0.07599997520446777, 0.029000043869018555]",,,,,,,,,,,,,,,True,formal/step4_33_main_model_based_raw.csv,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1261.4841912567745,27.104568053114477
33,MPC-3,96,test_id,id_actual,id_reliable,3,,1666.507291289621,,,126.76899981498718,2.6410208294788995,19.924999952316284,0,0,True,,100096,pure_mpc,4,48,True,,1.0,0.1250000007752542,"[15.213147200714408, 14.908710006006341, 6.8806992340274995, 8.551004242978324, 6.275502737036822, 7.839208416998188, 6.114239602484801, 8.065611534810621, 7.5107329252160735, 6.703946606260821, 15.882793113418202, 23.909839522253876, 34.40906984875981, 14.394403379463979, 25.6229254408646, 5.708463853047679, 5.46317415032656, 4.229980629432356, 2.9967093296787755, 2.5120784028987244, 1.2789408292102564, 0.04589925652157223, 0.0, 5.5998956944043385, 2.0052647797939107, 6.113792989224332, 11.82016411379616, 5.705135136834062, 7.877862729725372, 51.27101041419049, 77.71860781030848, 92.01812752101732, 101.16460073731086, 103.55794502309091, 112.41807934290864, 103.42084075330767, 43.367295356692395, 65.92411952752845, 62.96503875808186, 62.230544504429574, 66.96436508515464, 66.69440510245428, 60.441446632210855, 73.72370145550096, 75.04157100060696, 65.10438598231012, 52.09336857440538, 66.74864200192245]","[0.33700013160705566, 0.49000000953674316, 3.9660000801086426, 10.38100004196167, 3.00600004196167, 10.109999895095825, 0.07300019264221191, 2.857999801635742, 1.746999979019165, 2.2679998874664307, 1.0260000228881836, 0.2969999313354492, 0.9340000152587891, 2.689000129699707, 1.7569999694824219, 0.1380000114440918, 0.40399980545043945, 0.06999993324279785, 0.6789999008178711, 6.2200000286102295, 0.5220000743865967, 0.03900003433227539, 0.046000003814697266, 6.769999980926514, 4.431999921798706, 19.062999963760376, 19.924999952316284, 19.914000034332275, 2.0369999408721924, 0.6789999008178711, 0.125, 0.13100004196166992, 0.11599993705749512, 0.7060000896453857, 0.7070000171661377, 0.16100001335144043, 0.4200000762939453, 0.10599994659423828, 0.20300006866455078, 0.10800004005432129, 0.12199997901916504, 0.12199997901916504, 0.3190000057220459, 0.0820000171661377, 0.11600017547607422, 0.22299981117248535, 0.08599996566772461, 0.03900003433227539]",,,,,,,,,,,,,,,True,formal/step4_33_main_model_based_raw.csv,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320.79308640732,26.174743677881878
33,MPC-3,97,test_id,id_actual,id_reliable,3,,1654.6971871283629,,,51.596999168396,1.0749374826749163,8.962000131607056,0,0,True,,100097,pure_mpc,4,48,True,,1.0,0.1250000006132612,"[23.476892858265742, 8.775729756383043, 3.6994013495100826, 4.930032029035361, 5.846988293947201, 7.045442308096641, 5.500041417049857, 10.672973387248843, 6.153630101225126, 13.81882028139338, 19.559469016234722, 24.03150567519046, 36.33583635830905, 27.693220798073902, 18.895763562431654, 9.282945659071377, 5.948201211585672, 4.7147961744851, 3.5877245171095797, 2.354503210264037, 1.1213779044186731, 0.0, 0.0, 0.0, 0.0, 12.88901659805693, 19.438383347446326, 29.479482042554928, 39.917760801614754, 58.96819014102168, 56.57794315533095, 82.00604242891023, 88.1543477743193, 120.47599730916971, 118.48136326023844, 107.85428341878061, 43.071272516101786, 48.087962312977965, 46.07812268156374, 64.38704971488481, 58.885974385473205, 64.22765286714662, 68.18184824533661, 52.73081058767631, 64.6222885313258, 54.34694063166778, 55.217778201185055, 57.1713803062499]","[0.1119999885559082, 0.809999942779541, 0.4269998073577881, 0.10899996757507324, 0.08999991416931152, 8.962000131607056, 0.10199999809265137, 2.251999855041504, 0.08899998664855957, 0.3260002136230469, 0.4200000762939453, 0.4630000591278076, 1.183000087738037, 0.2820000648498535, 2.4579999446868896, 2.7119998931884766, 0.11599993705749512, 0.5509998798370361, 3.823000192642212, 0.5, 0.0410001277923584, 0.49000000953674316, 0.05299997329711914, 0.505000114440918, 5.824999809265137, 3.485999822616577, 5.059000015258789, 3.56499981880188, 2.253000020980835, 0.559999942779541, 0.5190000534057617, 0.40200018882751465, 0.1399998664855957, 0.11800003051757812, 0.12299990653991699, 0.10199999809265137, 0.3529999256134033, 0.29400014877319336, 0.2369999885559082, 0.13899993896484375, 0.31399989128112793, 0.21900010108947754, 0.10799980163574219, 0.28799986839294434, 0.22499990463256836, 0.3040001392364502, 0.06299996376037598, 0.02499985694885254]",,,,,,,,,,,,,,,True,formal/step4_33_main_model_based_raw.csv,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258.228083921786,31.510113966842766
33,MPC-3,98,test_id,id_actual,id_reliable,3,,1631.8100350027046,,,40.756999254226685,0.8491041511297226,7.523000001907349,0,0,True,,100098,pure_mpc,4,48,True,,1.0,0.1250000006358297,"[19.0479503083156, 10.594131658865935, 6.372050080279016, 4.93272754387705, 5.395468414459589, 5.379866711039984, 5.668918800184031, 9.44055903929555, 14.2620776523937, 13.237726039551553, 16.665328661072135, 29.481094347911338, 35.48962444155661, 21.633624323271555, 30.796386518604038, 11.295265899628781, 5.557658916614759, 4.3242843582236095, 3.0911790667832486, 1.8579964132081783, 0.6249097599990523, 0.0, 0.0, 0.7931578504158086, 1.600709595820401, 2.8270796964187683, 4.060337614544254, 4.532408194429961, 9.568557930305978, 43.605024094436175, 69.18685374449117, 81.35389585868428, 108.79561593671792, 114.76207332517983, 106.6822629092635, 110.8005904725209, 48.6048742932205, 52.061950314971796, 59.76635012249404, 66.60931532691224, 54.567214385372466, 64.6695345423211, 62.32949774124623, 57.699128102007975, 49.37250750169937, 69.70726518334357, 67.34822246441765, 65.3567788463331]","[0.7460000514984131, 1.2589998245239258, 5.562000036239624, 0.39999985694885254, 0.2649998664855957, 0.3509998321533203, 0.28999996185302734, 0.6740000247955322, 1.0939998626708984, 1.935999870300293, 1.5989999771118164, 0.30499982833862305, 0.8480000495910645, 0.46000003814697266, 0.9320001602172852, 1.4930000305175781, 0.12100005149841309, 0.051999807357788086, 0.0559999942779541, 0.06299996376037598, 0.04500007629394531, 0.502000093460083, 7.523000001907349, 2.80400013923645, 2.2079999446868896, 1.1929998397827148, 0.4849998950958252, 0.6460001468658447, 0.9549999237060547, 1.3680000305175781, 0.17499995231628418, 0.13499999046325684, 0.3619999885559082, 0.40200018882751465, 0.6789999008178711, 0.11999988555908203, 0.23200011253356934, 0.3059999942779541, 0.31599998474121094, 0.20799994468688965, 0.2929999828338623, 0.23200011253356934, 0.20399999618530273, 0.3040001392364502, 0.3280000686645508, 0.13399982452392578, 0.059999942779541016, 0.032000064849853516]",,,,,,,,,,,,,,,True,formal/step4_33_main_model_based_raw.csv,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287.962357050484,26.69702853270136
33,MPC-3,99,test_id,id_actual,id_reliable,3,,1722.955718651368,,,66.84800004959106,1.3926666676998138,9.657999992370604,0,0,True,,100099,pure_mpc,4,48,True,,1.0,0.1250000008871526,"[14.449656383225308, 12.27954623249995, 6.791290344504567, 4.5847439642221515, 11.34509733854846, 6.023482096755191, 9.713175497846, 12.052238369171056, 15.357707412265256, 15.365862013355198, 22.09211307757927, 32.579198492655664, 33.4780391534314, 29.10556920446367, 22.668692769680177, 5.969351409742737, 4.735944727017293, 4.936306618061052, 3.702980340018365, 2.68478639542989, 1.451635376987237, 0.21858035854458405, 0.0, 0.0, 0.6898160677656588, 1.9229076788100368, 34.49752832212175, 39.41399831245822, 36.108879707178865, 26.328175498434454, 60.428339179415396, 87.4532711343754, 83.62099975509054, 117.70521323579813, 124.49394862026728, 127.02142551353724, 44.14764446129651, 64.01677198121132, 56.770094286904786, 49.25263777872975, 57.985117611578254, 61.7675197288009, 61.82370216823527, 53.75804330504756, 65.0729956912171, 74.03556388577803, 67.9388779813022, 55.11624917000919]","[0.7100000381469727, 3.017000198364258, 3.7109999656677246, 0.3689999580383301, 9.657999992370605, 0.08999991416931152, 5.72599983215332, 0.3509998321533203, 1.7880001068115234, 0.6949999332427979, 0.3659999370574951, 0.24699997901916504, 2.3910000324249268, 0.3470001220703125, 1.5460000038146973, 2.8889999389648438, 0.05200004577636719, 0.22799992561340332, 0.046000003814697266, 8.490999937057495, 0.48600006103515625, 0.4330000877380371, 6.01200008392334, 0.40600013732910156, 3.0209999084472656, 0.6110000610351562, 2.7990000247955322, 3.36899995803833, 2.127000093460083, 1.3240001201629639, 0.3379998207092285, 0.10500001907348633, 0.3959999084472656, 0.312000036239624, 0.11100006103515625, 0.09299993515014648, 0.2630000114440918, 0.10599994659423828, 0.25999999046325684, 0.33099985122680664, 0.2070000171661377, 0.1790001392364502, 0.27499985694885254, 0.28600001335144043, 0.10400009155273438, 0.09600019454956055, 0.05499982833862305, 0.02500009536743164]",,,,,,,,,,,,,,,True,formal/step4_33_main_model_based_raw.csv,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1329.4121074740826,29.602830376280266
