system,method,scenario_id,split,actual_case,forecast_case,horizon,gamma_Q,cost,perfect_cost,gap_percent,voltage_violation,solve_time_s,avg_step_time_s,max_step_time_s,solver_fail_count,timeout_count,completed,incomplete_reason,seed,solver_kind,solver_window,executed_steps,include_tail,max_steps,final_P_DG_5,final_SOC_BSS_9,step_costs_json,step_times_json,failure_message,experiment_tag
33,MPC-3,80,test_id,id_actual,id_reliable,3,,1750.6988581297453,,,,51.75100064277649,1.0781458467245102,13.82800006866455,0,0,True,,100080,pure_mpc,4,48,True,,1.0,0.1250000008052981,"[10.482018139143662, 14.052368896214753, 8.368416324427631, 11.555666360304798, 5.607606363758771, 9.201104499587116, 5.545716402509746, 10.481076291921031, 15.405441260602855, 5.951439941151344, 22.225361803920308, 27.206663364914398, 40.980445862796216, 26.457257634046854, 16.66519575758521, 5.837313129066636, 5.813144305224585, 4.579749779686162, 3.3464512541477394, 2.1132487292432884, 0.8801422047048304, 0.0, 0.0, 0.0, 1.2330379320254377, 6.1085914282768385, 33.75254304206829, 22.356918255749104, 33.06040616360896, 38.918413392758616, 64.13651672252345, 79.59463973995986, 104.97461863128841, 131.69161923875114, 94.92234791078151, 117.67535086918735, 54.65258367496772, 52.93589535959376, 57.31782922899325, 64.87999558653438, 70.66968459823302, 72.55979420687555, 64.03571792036274, 68.24031938297485, 73.08466817711293, 64.7912945202977, 64.48228202774276, 61.867961814120115]","[0.49900007247924805, 1.3940000534057617, 0.24400019645690918, 7.033999919891357, 0.0839998722076416, 0.7279999256134033, 0.31099987030029297, 0.621999979019165, 0.3020000457763672, 0.12599992752075195, 0.31999993324279785, 0.21800017356872559, 0.559999942779541, 1.1530001163482666, 1.5490000247955322, 0.08800005912780762, 0.08899998664855957, 0.4869999885559082, 0.5080001354217529, 0.03900003433227539, 0.03299999237060547, 0.5140001773834229, 0.40799999237060547, 0.0410001277923584, 1.3610000610351562, 13.82800006866455, 11.822999954223633, 2.2380001544952393, 1.8889999389648438, 0.48000001907348633, 0.12899994850158691, 0.27300000190734863, 0.36100006103515625, 0.3600001335144043, 0.30700016021728516, 0.07800006866455078, 0.16699981689453125, 0.17100000381469727, 0.16100001335144043, 0.15699982643127441, 0.08599996566772461, 0.07399988174438477, 0.14899992942810059, 0.08299994468688965, 0.07999992370605469, 0.07899999618530273, 0.04800009727478027, 0.018000125885009766]",,forecast_sensitivity
33,MPC-7,80,test_id,id_actual,id_reliable,7,,1668.182891861255,,,,1607.9619994163513,33.49920832117399,300.20099997520447,0,0,True,,100080,pure_mpc,8,48,True,,1.0,0.1250000022802441,"[10.48201604851235, 18.4827897151283, 14.990910376136583, 13.566753357673974, 5.883425537306248, 8.710129317871102, 5.747094557642912, 14.254628107773108, 22.232926448652833, 6.836305064219397, 25.102764692139203, 20.610924913470566, 40.98044440281129, 12.447775371421862, 6.1661499338273265, 4.932728, 5.954732784708715, 4.721327239254058, 3.488017693799401, 2.2548041489787343, 1.0216866045241038, 0.0, 0.0, 0.0, 1.2330379878195088, 22.176599653301587, 36.65003481578348, 22.35691842367638, 33.06040642832595, 38.918413605636566, 64.13653716213214, 79.59463960078946, 87.77213592741717, 103.19806958073838, 65.286721788389, 95.41301659964508, 54.652583607062674, 52.93589537914024, 57.317829197629386, 64.87999556159355, 70.66968458222628, 72.5597941797523, 64.03571793691457, 68.24031932192858, 73.08466811251594, 64.7912945380004, 64.48228192262368, 61.86796163236113]","[9.101999998092651, 300.20099997520447, 151.67599987983704, 300.17000007629395, 0.27900004386901855, 300.19599986076355, 3.2849998474121094, 31.43499994277954, 14.900000095367432, 28.65499997138977, 12.007999897003174, 9.535000085830688, 43.36500000953674, 10.973999977111816, 15.455999851226807, 12.829999923706055, 1.5909998416900635, 1.5269999504089355, 1.375, 1.8680000305175781, 1.809000015258789, 13.502000093460083, 10.717999935150146, 21.563999891281128, 1.7609999179840088, 264.39200019836426, 24.90399980545044, 5.4079999923706055, 1.6970000267028809, 1.7590000629425049, 1.7360000610351562, 1.2380001544952393, 0.9740002155303955, 0.25, 1.6439998149871826, 0.24099993705749512, 0.24199986457824707, 0.996999979019165, 1.1480000019073486, 0.3250000476837158, 0.2820000648498535, 0.22099995613098145, 0.20399999618530273, 0.1789999008178711, 0.14299988746643066, 0.10400009155273438, 0.06800007820129395, 0.024000167846679688]",,forecast_sensitivity
33,Proposed-H3,80,test_id,id_actual,id_reliable,3,0.3,1386.6191620364643,,,,29.789000988006592,0.6206041872501373,1.9230000972747803,0,0,True,,100080,proposed,4,48,True,,1.0,0.12499999981117517,"[43.16148344873406, 14.053861265932571, 8.368419654139988, 5.053511879461315, 6.16615, 6.16615, 6.16615, 6.16615, 7.330089962287649, 6.16615, 13.461580328103064, 26.219052834765776, 40.980445788473354, 16.12518959736911, 12.972088114895513, 6.16615, 6.16615, 6.16615, 4.932728, 4.044063791517877, 3.699402, 3.699402, 3.699402, 3.699402, 4.932727378501924, 6.16615, 6.16615, 6.16615, 6.16615, 6.16615, 20.01665753411342, 35.06517133887761, 60.09969840036587, 89.8355107266273, 62.78159649500154, 95.41301522094275, 44.62368401531272, 46.52232480053309, 49.60749733533076, 59.484908097193454, 64.57470454428336, 70.71950200196392, 62.23505324030902, 67.39557044524967, 71.9332368516398, 64.3245392396767, 64.03052414516628, 61.36316755969478]","[1.9230000972747803, 0.6530001163482666, 0.7760000228881836, 0.6119999885559082, 0.6140000820159912, 0.8029999732971191, 0.6159999370574951, 0.5759999752044678, 0.0820000171661377, 0.3969998359680176, 0.5759999752044678, 0.757000207901001, 0.6670000553131104, 0.626000165939331, 0.6749999523162842, 0.6100001335144043, 0.6610000133514404, 0.6469998359680176, 0.6940000057220459, 0.7929999828338623, 0.7130000591278076, 0.6340000629425049, 0.5550000667572021, 0.568000078201294, 0.6069998741149902, 0.47699999809265137, 0.6119999885559082, 0.6130001544952393, 0.5580000877380371, 1.3329999446868896, 0.6460001468658447, 0.7720000743865967, 0.6599998474121094, 0.5780000686645508, 0.562000036239624, 0.6099998950958252, 0.621999979019165, 0.5820000171661377, 0.5980000495910645, 0.6100001335144043, 0.5659999847412109, 0.5520000457763672, 0.6039998531341553, 0.6070001125335693, 0.6100001335144043, 0.0989999771118164, 0.05800008773803711, 0.02499985694885254]",,forecast_sensitivity
33,MPC-3,81,test_id,id_actual,id_reliable,3,,1667.9582633958096,,,,51.33900022506714,1.0695625046888988,8.70199990272522,0,0,True,,100081,pure_mpc,4,48,True,,1.0,0.12500000058713587,"[23.33884271283026, 7.390408816428465, 3.699401771531471, 8.93443076675958, 5.450661963250343, 14.14520746052375, 5.737565109656372, 9.095700733370027, 9.439754879939173, 9.317248530289076, 20.112155833198425, 26.715228198149703, 27.458468670769697, 29.62071317392268, 10.121871532716908, 5.704481545808442, 5.415104064173082, 4.181740518872682, 2.9484729740722564, 1.715301428771817, 0.4822258834713777, 0.0, 0.0, 0.0, 12.423839792106653, 35.772241609514694, 3.699401869669616, 18.43853891215748, 19.313460069585496, 35.38642202217725, 61.300789238477044, 87.90200543783754, 97.56779739148308, 103.04618075989454, 116.6989121309942, 112.77750304094592, 55.66889373535791, 66.0181679097315, 59.95167389291488, 77.0961950509157, 71.97509155253145, 61.191993704990054, 49.728950925218655, 56.06499556556008, 57.327933388668214, 55.14839296073207, 60.271744480934466, 62.162151384905414]","[0.07800006866455078, 2.4790000915527344, 0.09099984169006348, 7.46399998664856, 0.30700016021728516, 1.0829999446868896, 0.08700013160705566, 0.564000129699707, 1.2649998664855957, 0.9100000858306885, 0.36299991607666016, 0.22900009155273438, 1.994999885559082, 0.34599995613098145, 1.7060000896453857, 0.377000093460083, 0.0970001220703125, 0.4330000877380371, 0.04500007629394531, 0.43900012969970703, 0.434999942779541, 0.4570000171661377, 3.757999897003174, 3.006999969482422, 8.70199990272522, 5.442999839782715, 0.30699992179870605, 1.9930000305175781, 2.7089998722076416, 1.069000005722046, 0.28600001335144043, 0.09599995613098145, 0.10100007057189941, 0.4269998073577881, 0.10599994659423828, 0.10199999809265137, 0.17600011825561523, 0.0969998836517334, 0.22799992561340332, 0.09600019454956055, 0.0970001220703125, 0.2609999179840088, 0.20099997520446777, 0.24199986457824707, 0.25, 0.24700021743774414, 0.0690000057220459, 0.01900005340576172]",,forecast_sensitivity
33,MPC-7,81,test_id,id_actual,id_reliable,7,,1596.3408936620422,,,,1308.6599991321564,27.263749981919926,300.42700004577637,0,0,True,,100081,pure_mpc,8,48,True,,1.0,0.12500000209476145,"[24.56868830080551, 7.390408091995546, 3.6994019595521426, 13.726458984731249, 5.812839137040603, 15.3384221977935, 6.190826131854491, 13.878649429177187, 18.151834392018984, 15.234676651561989, 18.246798720549585, 26.71522653447675, 27.458468473727244, 15.842712133745177, 4.932728115816783, 4.974717452242211, 5.026991720679717, 3.7936583836592597, 2.5604210471387465, 1.3272797107522478, 0.8900115838919929, 0.0, 0.0, 0.7842238545605955, 23.094994994209923, 26.774309745457742, 4.483809027771994, 7.6468949711235625, 19.313460486636036, 35.386422700378645, 61.300789379562325, 87.90200550268223, 91.35400688678882, 82.19430209296351, 95.54022238586708, 92.19803744883718, 55.668893968662864, 66.01816791452366, 59.95167763239421, 77.0961950332765, 71.97509155745722, 61.1919972876189, 49.72895091347545, 56.064998854492465, 57.32793332690378, 55.14839289718441, 60.271744449236714, 62.1621511967654]","[94.27899980545044, 2.6569998264312744, 1.178999900817871, 300.42700004577637, 1.113999843597412, 84.72900009155273, 65.87299990653992, 53.14199995994568, 20.263000011444092, 53.11399984359741, 16.706000089645386, 13.430999994277954, 1.9160001277923584, 14.751999855041504, 5.789000034332275, 16.17799997329712, 12.63100004196167, 1.3650000095367432, 2.004000186920166, 10.361000061035156, 77.08899998664856, 12.661999940872192, 21.48900008201599, 19.727999925613403, 300.12800002098083, 48.01099991798401, 22.270999908447266, 17.685999870300293, 3.741000175476074, 1.3619999885559082, 1.4120001792907715, 1.872999906539917, 1.3519999980926514, 1.375, 0.247999906539917, 0.24099993705749512, 0.753000020980835, 0.23099994659423828, 0.7110002040863037, 0.23199987411499023, 0.2220001220703125, 0.9670000076293945, 0.6429998874664307, 0.1789999008178711, 1.7710001468658447, 0.27699995040893555, 0.07499980926513672, 0.020999908447265625]",,forecast_sensitivity
33,Proposed-H3,81,test_id,id_actual,id_reliable,3,0.3,1301.2690372024251,,,,28.686999559402466,0.5976458241542181,1.4519999027252197,0,0,True,,100081,proposed,4,48,True,,1.0,0.12499999981141227,"[56.388190995543376, 7.390410437214501, 3.699402, 4.932728, 6.16615, 6.16615, 6.16615, 6.16615, 6.16615, 6.16615, 11.695979969374584, 25.921240208581402, 27.45846851933647, 18.577783393244765, 7.401639973242143, 6.16615, 6.16615, 6.16615, 5.732822301216129, 4.499434028230828, 4.138088172268393, 3.6994020000000005, 3.699402, 4.310626168303408, 5.543999745487659, 6.16615, 5.578491842845432, 6.16615, 6.16615, 6.16615, 17.36443354626413, 43.32232239033185, 52.60633409931632, 58.86134272673081, 84.77806373386991, 92.19756462657003, 38.79599308873799, 54.21098270011677, 48.40901378561827, 70.46567554687498, 67.09182961544437, 56.12854893872791, 48.60447589464397, 56.06499294325767, 55.534300617893784, 53.889282416625015, 59.95374197110582, 62.16207880540659]","[0.2539999485015869, 0.6690001487731934, 0.503000020980835, 0.5799999237060547, 0.6190001964569092, 0.5499999523162842, 0.0989999771118164, 0.12400007247924805, 0.5499999523162842, 0.5, 0.5799999237060547, 0.6570000648498535, 0.5690000057220459, 0.5480000972747803, 0.4739999771118164, 0.5260000228881836, 1.4270000457763672, 0.5780000686645508, 0.5929999351501465, 0.5690000057220459, 0.5870001316070557, 0.47099995613098145, 0.5220000743865967, 0.6869997978210449, 0.630000114440918, 0.17699980735778809, 0.6349999904632568, 0.5639998912811279, 0.6649999618530273, 1.4519999027252197, 0.5829999446868896, 0.5169999599456787, 0.6089999675750732, 0.5779998302459717, 0.8379998207092285, 0.9890000820159912, 0.7899999618530273, 0.9140000343322754, 0.7860000133514404, 0.8090000152587891, 0.7569999694824219, 0.8390002250671387, 0.8480000495910645, 0.2349998950958252, 0.7689998149871826, 0.38300013542175293, 0.06099987030029297, 0.023000001907348633]",,forecast_sensitivity
33,MPC-3,82,test_id,id_actual,id_reliable,3,,1618.251724660957,,,,47.80600118637085,0.9959583580493927,13.72599983215332,0,0,True,,100082,pure_mpc,4,48,True,,1.0,0.1250000024781391,"[21.164019106972173, 4.58127717687117, 4.237034864826845, 4.805004447301543, 5.195224491855499, 8.842902906693404, 6.164347087592464, 13.946681696647607, 11.612423185860006, 10.334146900229378, 19.352682894474718, 22.435058565929495, 30.47539005487299, 24.662072920377895, 32.710471386029326, 8.18428723000262, 5.546259201509577, 5.7277285715849375, 4.494340694051879, 3.2610488170182688, 2.0278530438646274, 0.794753166323405, 0.0, 0.0, 1.233037664253865, 2.466171537664898, 18.440951561296874, 15.654385243693113, 32.48419504357457, 34.31307730816358, 43.688877934058624, 78.23701948097361, 90.94720657236145, 105.37248931292724, 122.63816276992108, 107.09388065519072, 46.966722266149915, 64.43558174903023, 62.95687576798267, 60.52193234823306, 62.362120390659, 58.54338428264624, 52.16307865533275, 54.43324260972327, 64.02372908867939, 58.76931450120859, 69.06454600086943, 60.88673350547301]","[0.30900001525878906, 2.1489999294281006, 2.9100000858306885, 0.31400012969970703, 0.315000057220459, 2.5889999866485596, 0.06100010871887207, 0.28999996185302734, 0.9750001430511475, 0.7819998264312744, 0.9490001201629639, 0.7649998664855957, 0.5170001983642578, 0.9440000057220459, 0.21600008010864258, 2.2330000400543213, 0.10899996757507324, 0.5310001373291016, 0.44500017166137695, 0.04500007629394531, 0.051000118255615234, 0.4290001392364502, 0.0410001277923584, 0.44499993324279785, 2.4689998626708984, 2.2280001640319824, 13.72599983215332, 4.5980000495910645, 1.4270000457763672, 0.9049999713897705, 0.434999942779541, 0.5590000152587891, 0.3469998836517334, 0.434999942779541, 0.14300012588500977, 0.1119999885559082, 0.24900007247924805, 0.09800004959106445, 0.16899991035461426, 0.17100000381469727, 0.2710001468658447, 0.10099983215332031, 0.21000003814697266, 0.15900015830993652, 0.24699997901916504, 0.24499988555908203, 0.06100010871887207, 0.026999950408935547]",,forecast_sensitivity
33,MPC-7,82,test_id,id_actual,id_reliable,7,,1538.3360136034592,,,,1609.0569996833801,33.522020826737084,300.15300011634827,0,0,True,,100082,pure_mpc,8,48,True,,1.0,0.12500000201514425,"[22.513985727912367, 4.581277178351094, 4.237034864832471, 4.932701431738836, 5.648754048706879, 10.646828914104212, 9.75767136429818, 17.95686541414071, 19.731330482162512, 18.853600981708198, 17.837881377207328, 6.16615, 30.475389875159884, 11.42209813680133, 21.982594259138715, 8.169785229406386, 5.6233529724772655, 5.968705361023186, 4.735298728505614, 3.5019881098608288, 2.268773477550366, 1.0356548611448342, 0.0, 7.504990843309723e-07, 17.257578977601845, 14.31168793994937, 22.47315704934466, 15.654368704561204, 32.48419533070987, 34.31307794896116, 43.68887206925243, 78.23701898193954, 75.9439983198033, 71.47999356698651, 93.19887437427975, 86.11816425118187, 46.966725854802306, 64.43558196626871, 62.956880354542044, 60.52195565144205, 62.362124018122024, 58.54338461703824, 52.16308080718347, 54.43324270798591, 64.02373232813179, 58.76931463654226, 69.0645460369138, 60.88673356318473]","[191.13199996948242, 5.036999940872192, 6.638000011444092, 0.36500000953674316, 2.640000104904175, 163.24200010299683, 84.48299980163574, 40.21399998664856, 37.460999965667725, 17.57099986076355, 11.95199990272522, 1.7009999752044678, 1.813999891281128, 17.532999992370605, 12.898000001907349, 44.014999866485596, 1.7609999179840088, 8.467000007629395, 2.1460001468658447, 24.82800006866455, 15.849999904632568, 300.15300011634827, 9.698999881744385, 28.658999919891357, 167.29800009727478, 300.0940001010895, 51.19099998474121, 17.203999996185303, 2.0269999504089355, 10.150999784469604, 17.005000114440918, 1.7409999370574951, 1.8489999771118164, 2.003000020980835, 0.28299999237060547, 2.0480000972747803, 1.2029998302459717, 0.3259999752044678, 0.3640000820159912, 0.3859999179840088, 1.127000093460083, 1.2330000400543213, 0.3059999942779541, 0.26400017738342285, 0.1830000877380371, 0.40000009536743164, 0.0820000171661377, 0.029999971389770508]",,forecast_sensitivity
33,Proposed-H3,82,test_id,id_actual,id_reliable,3,0.3,1276.1064481778747,,,,35.89099979400635,0.7477291623751322,2.1040000915527344,0,0,True,,100082,proposed,4,48,True,,1.0,0.12499999981132646,"[54.16867974900008, 37.16718616411767, 4.2370382744830435, 4.932728, 6.16615, 6.16615, 6.16615, 6.16615, 6.16615, 6.16615, 6.16615, 6.16615, 30.475389874991485, 10.270849030151787, 15.147629766188768, 6.16615, 6.16615, 6.16615, 6.16615, 6.024562849308485, 4.791151872327006, 3.699402, 3.699402, 4.792888361934694, 5.685820788459104, 5.98231574078422, 6.16615, 6.16615, 6.16615, 6.16615, 6.16615, 33.71562141846153, 46.01467197418997, 60.24786778949322, 93.19887296780726, 86.11816424914917, 33.67453139584062, 54.00191741106469, 52.60337676746867, 52.52096022862197, 56.13987623511849, 57.753697108551634, 50.33627833962586, 53.98972155723634, 63.51256667805741, 57.52778363198515, 68.39394622790797, 60.45699972554794]","[2.1040000915527344, 1.621000051498413, 0.1510000228881836, 0.10100007057189941, 0.5720000267028809, 0.5750000476837158, 0.5980000495910645, 0.6000001430511475, 0.22799992561340332, 0.05299997329711914, 0.5889999866485596, 0.7170000076293945, 0.7439999580383301, 0.7369999885559082, 0.7170000076293945, 0.7759997844696045, 0.8619999885559082, 0.7759997844696045, 0.8869998455047607, 0.8440001010894775, 0.7760000228881836, 0.7369999885559082, 0.7980000972747803, 0.877000093460083, 0.9000000953674316, 0.8810000419616699, 0.7549998760223389, 1.8010001182556152, 0.8610000610351562, 1.4010000228881836, 0.7319998741149902, 0.7650001049041748, 0.8000001907348633, 0.7779998779296875, 0.8299999237060547, 0.8559999465942383, 0.7920000553131104, 0.8369998931884766, 0.8009998798370361, 0.8050000667572021, 0.8669998645782471, 0.7699999809265137, 0.746999979019165, 0.7409999370574951, 0.21700000762939453, 0.4100000858306885, 0.07699990272521973, 0.026999950408935547]",,forecast_sensitivity
33,MPC-3,83,test_id,id_actual,id_reliable,3,,1699.9911551342036,,,,56.299999475479126,1.1729166557391484,15.706000089645386,0,0,True,,100083,pure_mpc,4,48,True,,1.0,0.12500000072835343,"[17.22111724901206, 9.508726749618866, 4.735440789440922, 4.932727793851666, 7.655447487818503, 5.3435867782300175, 11.302352713955894, 11.653234191184538, 6.16615, 6.957033541349288, 14.98685303464027, 24.27294614820901, 35.662218395945054, 23.609158989352885, 15.717898413198236, 18.26679216730212, 6.013648753266802, 4.780238622376002, 3.5469244914852016, 2.3137063605944013, 1.0805842297036004, 0.0, 0.0, 0.0, 1.2330379239939664, 28.72123120756221, 3.6994019225931853, 12.170584097659278, 32.21083161560226, 48.646087866041825, 62.45512982918797, 87.2329897675786, 112.7678088707163, 117.22389964070793, 133.56576944302623, 113.76993401219757, 51.410253857969344, 41.7570805655694, 59.404902392938915, 63.02261592292367, 56.865600177675475, 62.758635722043955, 64.53189047034198, 67.05815803756214, 63.26342737165204, 62.00681220977322, 59.303004235332054, 59.18528107301832]","[0.8220000267028809, 0.8450000286102295, 4.536999940872192, 0.10100007057189941, 3.5379998683929443, 0.4140000343322754, 1.3020000457763672, 0.501000165939331, 0.7359998226165771, 4.126999855041504, 0.7760000228881836, 0.6759998798370361, 0.5969998836517334, 1.6449999809265137, 7.0329999923706055, 0.5109999179840088, 0.14299988746643066, 0.6009998321533203, 0.5770001411437988, 0.5690000057220459, 0.6770000457763672, 0.04799985885620117, 0.06599998474121094, 0.04800009727478027, 1.619999885559082, 15.706000089645386, 0.15600013732910156, 2.0869998931884766, 1.693000078201294, 0.5260000228881836, 0.1789999008178711, 0.11800003051757812, 0.4440000057220459, 0.14499998092651367, 0.09200000762939453, 0.12100005149841309, 0.3020000457763672, 0.2980000972747803, 0.3229999542236328, 0.12299990653991699, 0.33899998664855957, 0.2630000114440918, 0.11899995803833008, 0.1360001564025879, 0.1940000057220459, 0.3059999942779541, 0.08800005912780762, 0.031999826431274414]",,forecast_sensitivity
