diagnostic_case,case,modified_property,price_variation,time_coupling,n_mpc3_completed,n_perfect_completed,n_matched_pairs,mean_mpc3_cost,std_mpc3_cost,ci95_mpc3_cost,mean_perfect_cost,std_perfect_cost,ci95_perfect_cost,mean_gap_percent,std_gap_percent,ci95_gap_percent,mean_mpc3_avg_step_time_s,std_mpc3_avg_step_time_s,ci95_mpc3_avg_step_time_s,mean_perfect_solve_time_s,std_perfect_solve_time_s,ci95_perfect_solve_time_s
original,Original,None,High,Strong,20,20,20,1682.9825316751974,61.534562713366704,26.96871117779112,1313.0122874524436,45.01318364455955,19.727897548531708,28.175882201256904,1.4755680911270992,0.6466962292092003,1.4621708298722904,0.43204399909444136,0.18935163124422155,1800.9200499773026,0.4796196377056471,0.21020257419771501
flat_price,Flat price,Remove price variation,Removed,Strong,20,20,20,1541.3577895669382,54.678873814811276,23.964073041478045,1287.0892821746932,46.12423328267636,20.21483652190403,19.766150463893243,1.427214960946476,0.6255045355514814,2.730645835151275,0.983412696283447,0.43099961720992386,1801.0679500102997,0.4175697067832185,0.18300799294353856
relaxed_ramp,Relaxed ramp,Weaken DG inter-temporal coupling,High,Weak DG ramp,20,20,20,1615.7254609249323,47.52816139916498,20.830135147886423,1277.91593632412,44.48709645092482,19.497329670028073,26.460553699670445,1.1743456653611162,0.5146796804186164,2.164698960383733,0.5012771986091181,0.21969441876548762,1800.9985000371933,0.4499426329200115,0.19719605338413856
flat_price_relaxed_ramp,Flat price + relaxed ramp,Remove dominant long-term effects,Removed,Weak DG ramp,20,20,20,1474.1377710768948,42.25338761745311,18.518363610485512,1216.446347222027,45.61139180667352,19.990073835107392,21.22755888981215,1.5424976895442093,0.6760294190356149,2.563385411351919,0.5994921739854319,0.26273902959006906,1716.3827999711036,377.92740237300546,165.63398700412728
