system,actual_case,forecast_case,method,horizon,gamma_Q,n_runs,completed_count,completed_rate,total_fail_count,total_timeout_count,mean_executed_steps,n_completed,n_perf_rows,allow_partial,mean_cost,std_cost,ci95_cost,mean_solve_time_s,std_solve_time_s,ci95_solve_time_s,mean_avg_step_time_s,mean_max_step_time_s,mean_num_vars,mean_num_bin_vars,mean_num_constrs,mean_num_qconstrs,mean_num_genconstrs,mean_model_runtime_s,mean_mip_gap,max_mip_gap,mean_std_nn_binary_count,mean_model_status,min_model_sol_count,num_optimal_steps,num_timelimit_steps
33,id_actual,id_reliable,MPC-3,3,,5,5,1.0,0,0,48.0,5,5,False,1708.5293345893429,66.76037336672935,58.518047356099146,60.6856005191803,8.588166274232576,7.527859647772015,1.2642833441495895,15.453599977493287,698.125,0.0,398.5,290.8125,2.9375,1.2642833441495895,0.0007852485705254129,0.0009990375558563758,nan,2.0,1.0,240.0,0.0
33,id_actual,id_reliable,StdNN-H3-MIP,3,0.3,5,5,1.0,0,0,48.0,5,5,False,1570.1396580107078,103.15101815806105,90.41585391149793,133.50840010643006,13.71670385106132,12.023221037376855,2.7814250022172926,16.430000019073486,1867.1583333333333,68.40833333333333,1293.6041666666667,290.8125,3.875,2.7814250022172926,0.0004322222062891727,0.0009975171307951172,70.42083333333333,2.0,1.0,240.0,0.0
33,id_actual,id_reliable,Proposed-H3,3,0.3,5,5,1.0,0,0,48.0,5,5,False,1340.257711653683,52.57124809593006,46.08073068656635,35.71700005531311,2.8205912031800606,2.472357197483026,0.7441041678190231,1.7435999393463135,1457.5,0.0,912.25,290.8125,243.875,0.7441041678190231,0.0003124771009126534,0.000998645881625402,nan,2.0,1.0,240.0,0.0
