system,actual_case,forecast_case,display_forecast_case,method,horizon,gamma_Q,n_runs,completed_count,completed_rate,certified_global_count,certified_global_rate,total_fail_count,total_timeout_count,mean_executed_steps,n_completed,cost_accounting,mean_cost,std_cost,ci95_cost,mean_economic_generation_cost,std_economic_generation_cost,ci95_economic_generation_cost,mean_penalized_cost,std_penalized_cost,ci95_penalized_cost,mean_balance_penalty_cost,std_balance_penalty_cost,mean_constraint_penalty,std_constraint_penalty,mean_solve_time_s,std_solve_time_s,ci95_solve_time_s,mean_avg_step_time_s,mean_max_step_time_s,mean_num_vars,mean_num_bin_vars,mean_num_constrs,mean_num_qconstrs,mean_num_genconstrs,mean_model_runtime_s,mean_mip_gap,max_mip_gap,mean_model_status,mean_gurobi_status,min_model_sol_count,mean_cost_constraint,source_summary
33,id_actual,perfect,perfect,Oracle-H3,3,,20,20,1.0,,,0,,48.0,20,,1670.4788485342272,59.883759328474625,26.24521469491446,,,,,,,,,,,70.38389967679977,20.492325015127776,8.98115742316564,1.466331243266662,12.867049980163575,,,,,,,,,,,,,formal/step7_33_oracle_mpc_summary.csv
33,id_actual,perfect,perfect,Oracle-H7,7,,20,20,1.0,,,0,,48.0,20,,1578.1945053707088,50.45105161571149,22.11114826601997,,,,,,,,,,,1934.1484997749328,529.6148323732879,232.11393434745025,40.29476041197777,293.1610500216484,,,,,,,,,,,,,formal/step7_33_oracle_mpc_summary.csv
33,id_actual,id_reliable,id_reliable,MPC-3,3,,20,20,1.0,,,0,,48.0,20,,1682.9825316751974,61.534562713366704,26.96871117779112,,,,,,,,,,,70.18419983386994,20.73811195653319,9.088878299722637,1.4621708298722904,14.895149958133697,,,,,,,,,,,,,formal/step4_33_main_model_based_summary.csv
33,id_actual,id_reliable,id_reliable,MPC-5,5,,20,20,1.0,,,0,,48.0,20,,1625.7381371827626,58.75919872080584,25.75235427805555,,,,,,,,,,,501.04794989824296,190.1531484170692,83.33829173524995,10.438498956213396,128.57894999980925,,,,,,,,,,,,,formal/step4_33_main_model_based_summary.csv
33,id_actual,id_reliable,id_reliable,MPC-7,7,,20,20,1.0,,,0,,48.0,20,,1594.145195692511,63.05705946090333,27.635974797501913,,,,,,,,,,,1687.4157499194146,462.3042546457741,202.61377297636346,35.1544947899878,284.412700009346,,,,,,,,,,,,,formal/step4_33_main_model_based_summary.csv
33,id_actual,not_applicable,-,SAC,0,,20,20,1.0,,,0,,48.0,20,legacy_penalized_operating_cost,1406.2672477390768,44.96833575888128,19.708242096011052,282.9509255744519,0.026544606480440297,0.011633686727144203,1406.2672477390768,44.96833575888128,19.708242096011052,1123.3163221646248,44.95977662756686,1123.3163221646248,44.95977662756684,0.3997865149052814,0.05341625645351248,0.023410706584588683,0.008328885727193362,0.01448397000785917,,,,,,,,,,,,0.005533376079314189,formal/step7_33_policy_baselines_summary.csv
33,id_actual,not_applicable,-,SAC-ICNN,0,,20,20,1.0,,,0,,48.0,20,legacy_penalized_operating_cost,1941.220766545081,44.77684859020331,19.6243191441184,283.09733641723113,0.010234983265742322,0.004485679192831435,1941.220766545081,44.77684859020331,19.6243191441184,1658.1234301278498,44.77704392739668,1658.1234301278498,44.77704392739674,0.4053541297907941,0.05626141500948281,0.024657652300419986,0.008444877703974877,0.019634529994800688,,,,,,,,,,,,0.022860139902010787,formal/step7_33_policy_baselines_summary.csv
33,id_actual,not_applicable,-,SACLag,0,,20,20,1.0,,,0,,48.0,20,legacy_penalized_operating_cost,1415.1080248456217,49.079923806265896,21.510225008418868,282.98466606432305,0.020500373499034354,0.008984684826763303,1415.1080248456217,49.079923806265896,21.510225008418868,1132.1233587812985,49.074070177071164,1132.1233587812985,49.074070177071206,0.410344059986528,0.08519382549726169,0.037337840274725864,0.008548834583052667,0.021449249982833863,,,,,,,,,,,,0.0,formal/step7_33_policy_baselines_summary.csv
33,id_actual,id_reliable,id_reliable,Proposed-H3,3,0.3,20,20,1.0,,,0,,48.0,20,,1334.672642352308,47.28970476727077,20.72562692112061,,,,,,,,,,,33.16094986200333,2.6143989594229358,1.145810863540582,0.6908531221250693,1.8015000104904175,,,,,,,,,,,,,formal/step4_33_main_model_based_summary.csv
