system,method,scenario_id,split,actual_case,forecast_case,horizon,gamma_Q,cost,perfect_cost,gap_percent,voltage_violation,solve_time_s,avg_step_time_s,max_step_time_s,solver_fail_count,timeout_count,completed,incomplete_reason,seed,solver_kind,solver_window,executed_steps,include_tail,max_steps,final_P_DG_5,final_SOC_BSS_9,step_costs_json,step_times_json,mean_num_vars,mean_num_bin_vars,mean_num_constrs,mean_num_qconstrs,mean_num_genconstrs,mean_model_runtime_s,mean_mip_gap,max_mip_gap,mean_std_nn_binary_count,step_model_statuses_json,step_model_sol_counts_json,mean_model_status,min_model_sol_count,num_optimal_steps,num_timelimit_steps,failure_message,experiment_tag,source_raw,oracle_method,oracle_cost,gap_to_oracle_percent,policy_asset_dir,cost_accounting,penalized_cost,economic_generation_cost,balance_penalty_cost,constraint_penalty,step_economic_costs_json,step_penalized_costs_json,step_balance_penalties_json,step_reward_penalties_json,step_balance_errors_json,step_cost_constraints_json,mean_economic_generation_cost,mean_penalized_cost,mean_balance_penalty,mean_constraint_penalty,mean_cost_constraint
33,MPC-7,91,test_id,id_actual,id_reliable,7,,1696.3904044360493,,,,1725.1280000209808,35.94016666710377,300.23299980163574,0,0,True,,100091,pure_mpc,8,48,True,,1.0,0.1249999998113633,"[25.10733659707214, 15.774879360931363, 3.699401927608185, 14.730762166235984, 6.994097893432173, 11.950741689848225, 14.82443656501065, 12.726192474527409, 13.97789186449158, 13.261753670719319, 14.120163650659201, 34.440706782832635, 42.230797351656676, 13.664481605809607, 6.166149973043316, 5.382688871966112, 4.149327959875738, 4.642975397500789, 3.4096719511793983, 2.176464504359852, 0.9595163668096719, 0.0, 0.0, 0.17205836233806415, 46.64864112823976, 18.24273679367704, 14.647795017763539, 32.77763900045795, 23.765124806526835, 55.37423067434088, 68.98964175013313, 77.02723222979526, 103.7534872062859, 85.07293315058375, 110.72263907453794, 76.53201315736241, 60.239542821984095, 52.39087321880679, 59.35267662540316, 59.01029726142867, 54.72788433453113, 67.47154487841354, 63.3155583414746, 52.9181222038402, 68.13105935565545, 66.78112012810622, 58.614281096964184, 55.32083319182878]","[53.21300005912781, 300.23299980163574, 0.9070000648498535, 142.5479998588562, 55.281999826431274, 300.17899990081787, 21.735000133514404, 54.23699998855591, 41.21799993515015, 34.468000173568726, 28.700000047683716, 18.73099994659424, 1.8229999542236328, 14.45799994468689, 15.384000062942505, 12.337000131607056, 13.875, 71.1100001335144, 1.690000057220459, 9.957000017166138, 84.31900000572205, 28.42799997329712, 43.287999868392944, 21.98199987411499, 137.67899990081787, 141.24899983406067, 49.04299998283386, 1.7780001163482666, 4.944999933242798, 7.200999975204468, 1.49399995803833, 1.624000072479248, 1.4249999523162842, 1.684999942779541, 0.31400012969970703, 0.9079999923706055, 0.29400014877319336, 1.1450002193450928, 0.9300000667572021, 1.1100001335144043, 0.9630000591278076, 0.31399989128112793, 0.24899983406066895, 0.22099995613098145, 0.13499999046325684, 0.20600008964538574, 0.08599996566772461, 0.0280001163482666]",,,,,,,,,,,,,,,,,,formal/step4_33_main_model_based_raw.csv,Oracle-H7,1629.7194731368231,4.090945245374066,,,,,,,,,,,,,,,,,
33,Proposed-H3,91,test_id,id_actual,id_reliable,3,0.3,1378.494774891677,,,,30.7979998588562,0.6416249970595042,1.0419998168945312,0,0,True,,100091,proposed,4,48,True,,1.0,0.12499999981066603,"[56.94167621649591, 13.685692185928229, 3.699402, 5.18069436277589, 6.16615, 6.16615, 6.16615, 6.16615, 6.16615, 6.16615, 12.205922556303893, 34.44070795257482, 42.230797398067345, 21.197582145608003, 20.41801019332371, 6.16615, 6.16615, 6.16615, 5.654063780533512, 4.420681637443982, 4.04496682440374, 3.699402, 3.699402, 3.8175617761212193, 5.05089679827545, 6.16615, 6.16615, 6.16615, 6.16615, 11.598474977641791, 24.95093386681986, 32.450287194336234, 65.08565171095377, 62.936722594497375, 98.25859286707713, 70.63791603725537, 56.2989137697843, 49.93963067799694, 52.41333630615638, 54.69595315876155, 51.28846932616954, 66.28657366982743, 61.273603696309294, 52.91812147107743, 66.825858119946, 66.71665922762725, 58.50654426706438, 54.865122124519075]","[0.75, 0.8610000610351562, 0.7170000076293945, 0.7230000495910645, 0.6959998607635498, 0.6909999847412109, 0.7170000076293945, 0.1380000114440918, 0.5929999351501465, 0.7030000686645508, 0.6800000667572021, 0.7160000801086426, 0.7349998950958252, 0.6459999084472656, 0.6349999904632568, 0.3859999179840088, 0.681999921798706, 0.693000078201294, 0.695000171661377, 0.6480000019073486, 0.7820000648498535, 0.6690001487731934, 0.6459999084472656, 0.7569999694824219, 0.9149999618530273, 0.11700010299682617, 0.6729998588562012, 1.0419998168945312, 0.7039999961853027, 0.9159998893737793, 0.6960000991821289, 0.6699998378753662, 0.6689999103546143, 0.7089998722076416, 0.7760000228881836, 0.7999999523162842, 0.7030000686645508, 0.7290000915527344, 0.7190001010894775, 0.7159998416900635, 0.6919999122619629, 0.751000165939331, 0.624000072479248, 0.7369999885559082, 0.17300009727478027, 0.21399998664855957, 0.06400012969970703, 0.029999971389770508]",,,,,,,,,,,,,,,,,,formal/step4_33_main_model_based_raw.csv,Oracle-H7,1629.7194731368231,-15.41521116892579,,,,,,,,,,,,,,,,,
33,MPC-3,92,test_id,id_actual,id_reliable,3,,1552.7649357817957,,,,80.56799983978271,1.67849999666214,15.944999933242798,0,0,True,,100092,pure_mpc,4,48,True,,1.0,0.12500000095557964,"[5.517877334537035, 16.436116598354342, 9.320412962174412, 11.060028865354166, 7.1841151419008344, 5.774614974694243, 5.491063339759648, 10.329164687447523, 15.288386781784991, 8.468100138525188, 11.084345245901183, 24.320007506571535, 39.40145293972756, 26.562200054161877, 11.868098262768555, 11.333078832869106, 5.036847010148015, 3.8035129065432014, 2.570274802438377, 1.3371326983335523, 0.10408659422872757, 0.0, 0.0, 0.0, 8.810002975393477, 2.054892982907199, 3.2880909096616153, 5.269930354004328, 25.930293330985045, 20.18536542111285, 63.615185473900894, 70.69593565466792, 106.64411028542038, 124.04036366038021, 91.25811545262098, 123.67556518256578, 49.846693306819326, 56.60665803694244, 48.61760451085953, 63.90740842490696, 55.48437573979316, 55.25890773712642, 53.208515931273766, 65.4359173762228, 49.10955908357545, 64.32217443757654, 60.99135353278142, 52.21699830207299]","[5.983000040054321, 0.33899998664855957, 2.1549999713897705, 10.01200008392334, 1.99399995803833, 0.07999992370605469, 0.11500000953674316, 0.6860001087188721, 0.32000017166137695, 0.8949999809265137, 2.4700000286102295, 0.6630001068115234, 1.1150000095367432, 2.263000011444092, 0.4659998416900635, 0.5729999542236328, 0.6429998874664307, 0.05000019073486328, 0.5339999198913574, 0.5240001678466797, 0.4099998474121094, 0.3819999694824219, 6.6529998779296875, 0.40400004386901855, 15.944999933242798, 2.618000030517578, 0.4500000476837158, 2.5889999866485596, 13.51799988746643, 1.315999984741211, 0.4809999465942383, 0.41899991035461426, 0.12400007247924805, 0.3960001468658447, 0.35199999809265137, 0.09500002861022949, 0.21700000762939453, 0.2089998722076416, 0.2630000114440918, 0.26799988746643066, 0.3039999008178711, 0.3280000686645508, 0.3169999122619629, 0.10500001907348633, 0.22900009155273438, 0.20099997520446777, 0.06399989128112793, 0.031000137329101562]",,,,,,,,,,,,,,,,,,formal/step4_33_main_model_based_raw.csv,Oracle-H7,1484.1085918578876,4.626099754463405,,,,,,,,,,,,,,,,,
33,MPC-5,92,test_id,id_actual,id_reliable,5,,1532.9951155131168,,,,733.7769989967346,15.28702081243197,144.0699999332428,0,0,True,,100092,pure_mpc,6,48,True,,1.0,0.12500000183642565,"[5.517874967482307, 18.284031438036482, 14.265853462291712, 12.712170633076813, 7.207476595897253, 5.601550090628266, 5.393329947126635, 9.93007012245279, 17.88972654690774, 16.043659922536087, 7.479559951072134, 18.286897071653847, 39.401451537832685, 15.79822682726445, 8.550926495213297, 11.333060496418959, 5.036845062633823, 3.8035109586806213, 2.5702728547274196, 1.3371307507742183, 0.1040846478210166, 0.0, 0.0, 0.0, 32.80817690859804, 2.0548931564355346, 12.728205313089827, 6.023299601187548, 25.930294160963935, 20.1853655308852, 63.61518563566861, 70.69593579570375, 105.70769862109987, 108.22484412185798, 75.62097764506463, 107.8463523108721, 49.846693383478225, 56.60665808981313, 48.61760463125188, 63.907412031264386, 55.48437566034911, 55.2589112730921, 53.20851886111628, 65.43591733059799, 49.10955902754871, 64.3221743761091, 60.991353473807735, 52.216998192732824]","[11.607999801635742, 24.663000106811523, 24.865999937057495, 54.806999921798706, 25.969000101089478, 0.2239999771118164, 0.6629998683929443, 34.05400013923645, 13.764999866485596, 15.91100001335144, 16.67899990081787, 0.929999828338623, 11.17300009727478, 21.842000007629395, 9.463000059127808, 10.407999992370605, 8.966000080108643, 0.9189999103546143, 0.9539999961853027, 0.8589999675750732, 6.20199990272522, 56.53600001335144, 75.35500001907349, 27.233999967575073, 144.0699999332428, 2.5139999389648438, 53.34699988365173, 34.49300003051758, 26.61899995803833, 5.832000017166138, 1.186000108718872, 0.8409998416900635, 0.9019999504089355, 0.6970000267028809, 3.6489999294281006, 0.20300006866455078, 0.19999980926513672, 0.1959998607635498, 2.878999948501587, 0.22899985313415527, 0.22300004959106445, 0.2109999656677246, 0.20800018310546875, 0.20600008964538574, 0.7309999465942383, 0.1940000057220459, 0.06800007820129395, 0.029000043869018555]",,,,,,,,,,,,,,,,,,formal/step4_33_main_model_based_raw.csv,Oracle-H7,1484.1085918578876,3.2939990997579502,,,,,,,,,,,,,,,,,
33,MPC-7,92,test_id,id_actual,id_reliable,7,,1503.1720315849477,,,,1942.32399892807,40.46508331100146,300.3770000934601,0,0,True,,100092,pure_mpc,8,48,True,,1.0,0.1249999998100326,"[5.517876903346794, 20.879441425832123, 15.949976559732406, 14.682383790953207, 6.16615, 5.633141674300546, 6.038431339589225, 14.636128530649962, 22.74995943883598, 11.399771596398734, 5.921311805703151, 6.766017397144165, 39.401420418884044, 15.797878225938444, 8.55130843798315, 11.3330613731736, 5.036841407936395, 3.8035073046933237, 2.5702692015245354, 1.3371270984898493, 0.10408099582093225, 0.0, 0.0, 0.0, 41.785382974265545, 2.4661720000000003, 7.070541182142741, 4.932728, 20.261931101403462, 20.18535534800626, 63.61518566051709, 70.6959357493561, 99.06213478329705, 101.9185975433498, 68.46435365571337, 103.4313365303623, 49.846693810767896, 56.60665815943015, 48.61760452846478, 63.9074119546912, 55.48437587125682, 55.258911161509936, 53.210465991731446, 65.43591672556614, 49.10774034970447, 64.32217283141587, 60.99135213292521, 52.216988612139446]","[21.5310001373291, 300.21399998664856, 300.1340000629425, 300.3110001087189, 90.83599996566772, 1.1099998950958252, 8.480000019073486, 26.443000078201294, 22.776999950408936, 26.26799988746643, 4.330999851226807, 16.055000066757202, 18.960000038146973, 27.4229998588562, 11.77999997138977, 10.089999914169312, 11.568000078201294, 1.8970000743865967, 1.9900000095367432, 16.341000080108643, 8.9760000705719, 113.19400000572205, 9.579999923706055, 9.96500015258789, 111.125, 300.3770000934601, 54.175999879837036, 46.930999994277954, 17.61899995803833, 29.412999868392944, 1.7400000095367432, 1.5809998512268066, 2.822000026702881, 1.309999942779541, 6.82699990272522, 1.5769999027252197, 0.312999963760376, 0.2909998893737793, 1.7630000114440918, 0.3250000476837158, 0.9469997882843018, 0.9110000133514404, 0.8829998970031738, 0.20199990272521973, 0.627000093460083, 0.182999849319458, 0.08599996566772461, 0.0409998893737793]",,,,,,,,,,,,,,,,,,formal/step4_33_main_model_based_raw.csv,Oracle-H7,1484.1085918578876,1.2845043706131665,,,,,,,,,,,,,,,,,
33,Proposed-H3,92,test_id,id_actual,id_reliable,3,0.3,1231.476801788358,,,,33.19399881362915,0.6915416419506073,1.5960001945495605,0,0,True,,100092,proposed,4,48,True,,1.0,0.12499999981039625,"[38.125269990138605, 16.436118775936748, 9.320414532497647, 4.932728, 6.16615, 6.16615, 6.16615, 6.16615, 6.758949936347988, 6.16615, 6.16615, 18.22800456088211, 39.40145264847136, 18.665610789360457, 11.40632134085872, 11.3330815572098, 6.16615, 6.16615, 4.932728, 3.740128099934761, 3.699402, 3.699402, 3.699402, 3.699402, 4.932728, 3.7896000141619486, 5.022933033433852, 6.16615, 6.16615, 6.16615, 19.48566703293566, 26.432043057768645, 61.406368163908034, 78.37847653510485, 59.08967648531453, 103.43133652700689, 30.015685714314564, 43.11883227671672, 35.887690229244065, 54.40943511290733, 49.37061297058895, 51.51739343070292, 50.581982638925446, 64.45933564340017, 48.07757486961579, 63.79395677604212, 60.79520917760464, 51.57419786702278]","[1.5960001945495605, 0.749000072479248, 0.6330001354217529, 0.820000171661377, 0.7029998302459717, 0.8339998722076416, 0.7950000762939453, 0.7239999771118164, 0.0989999771118164, 0.6189999580383301, 0.7450001239776611, 0.7300000190734863, 0.752000093460083, 0.7029998302459717, 0.5810000896453857, 0.623999834060669, 0.6340000629425049, 0.6729998588562012, 0.6749999523162842, 0.9289999008178711, 0.6719999313354492, 0.6600000858306885, 0.747999906539917, 0.6769998073577881, 0.8350000381469727, 0.8009998798370361, 0.8459999561309814, 0.7919998168945312, 0.7569999694824219, 0.7080001831054688, 0.6919999122619629, 0.747999906539917, 0.7189998626708984, 0.812999963760376, 0.7960000038146973, 0.8259999752044678, 0.7390000820159912, 0.7379999160766602, 0.8050000667572021, 0.7039999961853027, 0.6779999732971191, 0.687999963760376, 0.6919999122619629, 0.8559999465942383, 0.15199995040893555, 0.30900001525878906, 0.07699990272521973, 0.04799985885620117]",,,,,,,,,,,,,,,,,,formal/step4_33_main_model_based_raw.csv,Oracle-H7,1484.1085918578876,-17.022459909976767,,,,,,,,,,,,,,,,,
33,MPC-3,93,test_id,id_actual,id_reliable,3,,1637.3319171837081,,,,66.00999999046326,1.3752083331346512,13.468999862670898,0,0,True,,100093,pure_mpc,4,48,True,,1.0,0.1250000009784015,"[16.17492914066864, 12.25543418690818, 8.877301187392437, 4.932700350691031, 8.129190617734965, 6.166142183372741, 15.274878196907059, 6.16615, 9.108083337804018, 13.148763223038971, 20.71621280710045, 26.960375747645244, 21.694150079752006, 24.846526866255203, 25.968293434456776, 5.233137448259613, 3.9997880665254644, 4.116346869476281, 2.883084496105489, 1.759641050910573, 0.677582641538365, 0.0, 0.0, 0.0, 1.2330379193661543, 7.042909800496364, 22.111897062545978, 15.269340409639423, 6.16615, 51.13053470789753, 63.676785262415706, 75.30767132604454, 83.22395026415455, 117.3712972916592, 126.91280960186826, 122.08025710170422, 42.427094288219536, 64.74763401538351, 56.70975460734655, 59.41606591465383, 69.87583239648089, 62.43596107275621, 66.44399184906077, 61.15507978478, 66.98454523554581, 54.458599026446116, 47.96118088229533, 54.100825430404115]","[0.7739999294281006, 0.6540000438690186, 2.631999969482422, 0.08799982070922852, 3.0810000896453857, 0.0710000991821289, 1.4270000457763672, 0.3489999771118164, 1.9530000686645508, 1.2690000534057617, 0.6410000324249268, 0.3080000877380371, 3.265000104904175, 1.8950002193450928, 3.109999895095825, 0.375, 0.6510000228881836, 0.6500000953674316, 0.06100010871887207, 4.224999904632568, 8.519999980926514, 0.5320000648498535, 0.3919999599456787, 0.05499982833862305, 0.8630001544952393, 13.468999862670898, 3.625, 2.3440001010894775, 4.58899998664856, 0.5249998569488525, 0.1770000457763672, 0.11899995803833008, 0.7330000400543213, 0.4309999942779541, 0.10599994659423828, 0.10899996757507324, 0.3320000171661377, 0.10199999809265137, 0.2049999237060547, 0.11500000953674316, 0.10800004005432129, 0.18199992179870605, 0.18999981880187988, 0.21300005912780762, 0.11699986457824707, 0.22900009155273438, 0.08599996566772461, 0.06299996376037598]",,,,,,,,,,,,,,,,,,formal/step4_33_main_model_based_raw.csv,Oracle-H7,1568.8845145223945,4.362806951546119,,,,,,,,,,,,,,,,,
33,MPC-5,93,test_id,id_actual,id_reliable,5,,1615.4219146070618,,,,521.6280000209808,10.867250000437101,60.319000005722046,0,0,True,,100093,pure_mpc,6,48,True,,1.0,0.1250000016492743,"[16.174929165791543, 12.255434205376536, 14.34999794709157, 4.931105427998271, 8.548743280015568, 6.130145579298651, 14.698277297889332, 6.16615, 11.594181745035247, 21.639378414407588, 28.42906258838125, 26.960373616509642, 21.69414974151435, 10.777792226685314, 6.898432169881511, 5.1714931708462775, 3.938148587060052, 3.8493150698441605, 2.616247106888718, 1.6002719285115161, 0.6775964051339984, 0.0, 0.0, 0.0, 15.851332340749424, 18.156830206609044, 22.111896827713714, 15.269347702183588, 6.16615, 51.13053477501297, 63.6767876648365, 75.30767136783696, 83.22395021372752, 108.42766636378812, 112.5644446321574, 107.71750905970374, 42.4270976352057, 64.74763403173374, 56.70975461458913, 59.416066023229604, 69.87583243157528, 62.4359610525701, 66.44399184087787, 61.15507977924974, 66.9845452164449, 54.458598975866266, 47.9611808291292, 54.10082534811003]","[3.6470000743865967, 6.398000001907349, 25.763999938964844, 0.1770000457763672, 52.712000131607056, 0.17400002479553223, 18.115000009536743, 23.561000108718872, 16.91000008583069, 2.9070000648498535, 1.315999984741211, 10.990000009536743, 1.1779999732971191, 6.53600001335144, 28.39299988746643, 9.825000047683716, 1.122999906539917, 14.218000173568726, 0.09200000762939453, 13.723999977111816, 14.467999935150146, 18.717000007629395, 17.884999990463257, 19.76199984550476, 54.59499979019165, 60.319000005722046, 45.236000061035156, 23.48900008201599, 17.34000015258789, 1.3250000476837158, 0.872999906539917, 1.2939999103546143, 3.258000135421753, 1.0260000228881836, 0.6959998607635498, 0.19899988174438477, 1.3420000076293945, 0.20399999618530273, 0.22799992561340332, 0.21399998664855957, 0.20300006866455078, 0.22699999809265137, 0.18999981880187988, 0.20399999618530273, 0.19300007820129395, 0.23199987411499023, 0.08500003814697266, 0.06400012969970703]",,,,,,,,,,,,,,,,,,formal/step4_33_main_model_based_raw.csv,Oracle-H7,1568.8845145223945,2.9662731484627076,,,,,,,,,,,,,,,,,
33,MPC-7,93,test_id,id_actual,id_reliable,7,,1614.236563121582,,,,2231.2530007362366,46.484437515338264,300.35199999809265,0,0,True,,100093,pure_mpc,8,48,True,,1.0,0.12500000188909968,"[17.110832033255715, 15.734798280622561, 16.144423206202156, 4.931235225417676, 8.70203190918464, 6.1661490229560965, 16.64205641946591, 10.775239887166272, 14.082030731814482, 22.039398753564917, 20.825148941272573, 20.212291127778514, 21.69410893245626, 10.777789505454209, 6.16615, 5.047781275371189, 3.814446320626386, 3.8170436349666015, 2.5838044776192493, 1.435731561629782, 0.6775970810471139, 0.0, 0.0, 0.0, 29.81334714110474, 18.156855732071545, 22.111904362457196, 21.22412908985216, 9.315391436542697, 51.13053483092549, 63.67678767174977, 75.30767133658283, 82.45515528837058, 100.51119149720776, 104.64582544702401, 99.79111332713126, 42.427097697238885, 64.7476340516769, 56.70975462824039, 59.41606579731611, 69.87583244973916, 62.435961111658024, 66.44399183338669, 61.155079767205486, 66.98454520517701, 54.45859896156974, 47.961180810923786, 54.10082531855744]","[212.03700017929077, 300.35199999809265, 300.2700002193451, 0.26600003242492676, 170.55499982833862, 1.5429999828338623, 21.54300022125244, 36.456000089645386, 65.12899994850159, 22.972000122070312, 17.980000019073486, 16.142000198364258, 15.004999876022339, 13.380000114440918, 1.50600004196167, 13.532000064849854, 1.434999942779541, 13.925000190734863, 8.182999849319458, 300.2019999027252, 36.194000005722046, 18.59600019454956, 45.598999977111816, 10.631999969482422, 171.5059998035431, 255.1289999485016, 52.508999824523926, 19.448999881744385, 24.92899990081787, 49.25399994850159, 1.695000171661377, 1.6690001487731934, 4.226000070571899, 2.0439999103546143, 0.9809999465942383, 0.3190000057220459, 1.0720000267028809, 0.2779998779296875, 0.27900004386901855, 0.9140000343322754, 0.309999942779541, 0.27900004386901855, 0.2519998550415039, 0.21000003814697266, 0.15200018882751465, 0.20600008964538574, 0.08500003814697266, 0.07200002670288086]",,,,,,,,,,,,,,,,,,formal/step4_33_main_model_based_raw.csv,Oracle-H7,1568.8845145223945,2.8907193728656195,,,,,,,,,,,,,,,,,
