system,scenario_id,actual_case,forecast_case,split,baseline,target,baseline_cost,target_cost,cost_diff,cost_reduction_percent,baseline_solve_time_s,target_solve_time_s,time_diff_s,time_reduction_percent
33,80,id_actual,biased_ood,test_id,MPC-7,Proposed-H3,1519.8995527428388,1395.0250842442554,-124.87446849858338,8.215968500894196,745.7009990215302,52.273000955581665,-693.4279980659485,92.9900857013506
33,80,id_actual,high_error,test_id,MPC-7,Proposed-H3,1594.634280799972,1423.0910986512215,-171.54318214875047,10.757525045974385,668.2369992733002,51.00000071525574,-617.2369985580444,92.36797711429962
33,80,id_actual,id_reliable,test_id,MPC-7,Proposed-H3,1668.182891861255,1386.6191620364643,-281.5637298247907,16.878468853654248,1607.9619994163513,29.789000988006592,-1578.1729984283447,98.14740640644374
33,81,id_actual,biased_ood,test_id,MPC-7,Proposed-H3,1465.1456965036743,1304.8181530638567,-160.32754343981765,10.942771345021358,726.5679998397827,35.38100028038025,-691.1869995594025,95.13039381197875
33,81,id_actual,high_error,test_id,MPC-7,Proposed-H3,1540.7119675842987,1345.0044723825788,-195.7074952017199,12.702406375707726,539.7600004673004,48.065999031066895,-491.6940014362335,91.09493126770167
33,81,id_actual,id_reliable,test_id,MPC-7,Proposed-H3,1596.3408936620422,1301.2690372024251,-295.07185645961704,18.48426345720653,1308.6599991321564,28.686999559402466,-1279.972999572754,97.80791041382587
33,82,id_actual,biased_ood,test_id,MPC-7,Proposed-H3,1471.8492708392428,1293.271790797551,-178.57748004169184,12.132864660786064,883.5619990825653,33.571001291275024,-849.9909977912903,96.20049285436302
33,82,id_actual,high_error,test_id,MPC-7,Proposed-H3,1588.0703702187416,1334.383451850082,-253.68691836865946,15.97453885709841,631.7789995670319,44.9689998626709,-586.809999704361,92.88216292509107
33,82,id_actual,id_reliable,test_id,MPC-7,Proposed-H3,1538.3360136034592,1276.1064481778747,-262.2295654255845,17.046312581041875,1609.0569996833801,35.89099979400635,-1573.1659998893738,97.76943888245918
33,83,id_actual,biased_ood,test_id,MPC-7,Proposed-H3,1473.29273608819,1348.8726264383656,-124.42010964982433,8.445036522760448,550.1800000667572,33.41299819946289,-516.7670018672943,93.92689698000497
33,83,id_actual,high_error,test_id,MPC-7,Proposed-H3,1603.3022829777467,1385.0500509162275,-218.25223206151918,13.612668950746354,786.4170000553131,51.17199969291687,-735.2450003623962,93.49301964615239
33,83,id_actual,id_reliable,test_id,MPC-7,Proposed-H3,1638.7697120805713,1339.853199514662,-298.9165125659092,18.240300047186423,1502.92999958992,31.314000129699707,-1471.6159994602203,97.91646981973587
33,84,id_actual,biased_ood,test_id,MPC-7,Proposed-H3,1530.625971561659,1412.308808872874,-118.31716268878517,7.729985305820282,565.4840006828308,34.80899977684021,-530.6750009059906,93.8443882170304
33,84,id_actual,high_error,test_id,MPC-7,Proposed-H3,1668.6929627706884,1406.2774090391179,-262.4155537315705,15.72581413035129,789.9369990825653,41.239999532699585,-748.6969995498657,94.77933055666517
33,84,id_actual,id_reliable,test_id,MPC-7,Proposed-H3,1644.6649769921903,1397.440711336988,-247.22426565520232,15.031892155162993,1312.2070014476776,28.690999507904053,-1283.5160019397736,97.81353098434538
